"Question","Subject","Treatment","Choice","Test","Lp","Ly","Lb","Rp","Ry","Rb"
1,1,1,"R",TRUE,-10,10,-10,-10,-10,10
1,2,1,"R",TRUE,-10,10,-10,-10,-10,10
1,3,1,"R",TRUE,-10,10,-10,-10,-10,10
1,4,1,"R",TRUE,-10,10,-10,-10,-10,10
1,5,1,"R",TRUE,-10,10,-10,-10,-10,10
1,6,1,"R",TRUE,-10,10,-10,-10,-10,10
1,7,1,"L",TRUE,-10,10,-10,-10,-10,10
1,8,1,"R",TRUE,-10,10,-10,-10,-10,10
1,9,1,"R",TRUE,-10,10,-10,-10,-10,10
1,10,1,"R",TRUE,-10,10,-10,-10,-10,10
1,11,1,"R",TRUE,-10,10,-10,-10,-10,10
1,12,1,"R",TRUE,-10,10,-10,-10,-10,10
1,13,1,"R",TRUE,-10,10,-10,-10,-10,10
1,14,1,"R",TRUE,-10,10,-10,-10,-10,10
1,15,1,"L",TRUE,-10,10,-10,-10,-10,10
1,16,2,"R",TRUE,-10,10,-10,-10,-10,10
1,17,2,"R",TRUE,-10,10,-10,-10,-10,10
1,18,2,"R",TRUE,-10,10,-10,-10,-10,10
1,19,2,"R",TRUE,-10,10,-10,-10,-10,10
1,20,2,"R",TRUE,-10,10,-10,-10,-10,10
1,21,2,"R",TRUE,-10,10,-10,-10,-10,10
1,22,2,"R",TRUE,-10,10,-10,-10,-10,10
1,23,2,"L",TRUE,-10,10,-10,-10,-10,10
1,24,2,"R",TRUE,-10,10,-10,-10,-10,10
1,25,2,"R",TRUE,-10,10,-10,-10,-10,10
1,26,2,"R",TRUE,-10,10,-10,-10,-10,10
1,27,2,"R",TRUE,-10,10,-10,-10,-10,10
1,28,2,"R",TRUE,-10,10,-10,-10,-10,10
1,29,2,"R",TRUE,-10,10,-10,-10,-10,10
1,30,2,"R",TRUE,-10,10,-10,-10,-10,10
1,31,2,"R",TRUE,-10,10,-10,-10,-10,10
1,32,2,"R",TRUE,-10,10,-10,-10,-10,10
1,33,3,"R",TRUE,-10,10,-10,-10,-10,10
1,34,3,"R",TRUE,-10,10,-10,-10,-10,10
1,35,3,"R",TRUE,-10,10,-10,-10,-10,10
1,36,3,"L",TRUE,-10,10,-10,-10,-10,10
1,37,3,"R",TRUE,-10,10,-10,-10,-10,10
1,38,3,"R",TRUE,-10,10,-10,-10,-10,10
1,39,3,"L",TRUE,-10,10,-10,-10,-10,10
1,40,3,"R",TRUE,-10,10,-10,-10,-10,10
1,41,3,"R",TRUE,-10,10,-10,-10,-10,10
1,42,3,"R",TRUE,-10,10,-10,-10,-10,10
1,43,3,"R",TRUE,-10,10,-10,-10,-10,10
1,44,3,"R",TRUE,-10,10,-10,-10,-10,10
1,45,3,"R",TRUE,-10,10,-10,-10,-10,10
1,46,3,"R",TRUE,-10,10,-10,-10,-10,10
1,47,3,"R",TRUE,-10,10,-10,-10,-10,10
1,48,3,"R",TRUE,-10,10,-10,-10,-10,10
2,1,1,"R",FALSE,-10,10,-10,-10,-10,100
2,2,1,"R",FALSE,-10,10,-10,-10,-10,100
2,3,1,"R",FALSE,-10,10,-10,-10,-10,100
2,4,1,"R",FALSE,-10,10,-10,-10,-10,100
2,5,1,"R",FALSE,-10,10,-10,-10,-10,100
2,6,1,"R",FALSE,-10,10,-10,-10,-10,100
2,7,1,"R",FALSE,-10,10,-10,-10,-10,100
2,8,1,"R",FALSE,-10,10,-10,-10,-10,100
2,9,1,"R",FALSE,-10,10,-10,-10,-10,100
2,10,1,"L",FALSE,-10,10,-10,-10,-10,100
2,11,1,"R",FALSE,-10,10,-10,-10,-10,100
2,12,1,"R",FALSE,-10,10,-10,-10,-10,100
2,13,1,"R",FALSE,-10,10,-10,-10,-10,100
2,14,1,"R",FALSE,-10,10,-10,-10,-10,100
2,15,1,"R",FALSE,-10,10,-10,-10,-10,100
2,16,2,"R",FALSE,-10,10,-10,-10,-10,100
2,17,2,"R",FALSE,-10,10,-10,-10,-10,100
2,18,2,"R",FALSE,-10,10,-10,-10,-10,100
2,19,2,"R",FALSE,-10,10,-10,-10,-10,100
2,20,2,"R",FALSE,-10,10,-10,-10,-10,100
2,21,2,"R",FALSE,-10,10,-10,-10,-10,100
2,22,2,"R",FALSE,-10,10,-10,-10,-10,100
2,23,2,"R",FALSE,-10,10,-10,-10,-10,100
2,24,2,"R",FALSE,-10,10,-10,-10,-10,100
2,25,2,"R",FALSE,-10,10,-10,-10,-10,100
2,26,2,"R",FALSE,-10,10,-10,-10,-10,100
2,27,2,"R",FALSE,-10,10,-10,-10,-10,100
2,28,2,"R",FALSE,-10,10,-10,-10,-10,100
2,29,2,"R",FALSE,-10,10,-10,-10,-10,100
2,30,2,"R",FALSE,-10,10,-10,-10,-10,100
2,31,2,"R",FALSE,-10,10,-10,-10,-10,100
2,32,2,"R",FALSE,-10,10,-10,-10,-10,100
2,33,3,"R",FALSE,-10,10,-10,-10,-10,100
2,34,3,"R",FALSE,-10,10,-10,-10,-10,100
2,35,3,"R",FALSE,-10,10,-10,-10,-10,100
2,36,3,"R",FALSE,-10,10,-10,-10,-10,100
2,37,3,"R",FALSE,-10,10,-10,-10,-10,100
