"sig"	"w1"	"w2"	"w3"	"w12"	"w13"	"w23"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.3631	0.4811	0.3812	0.665	0.5257	0.7217	0.7122	5.4264	-5e-04	0	21102
"2"	0.0664	0.1966	0.3798	0.3302	0.7718	0.6108	0.9435	0.3087	22.5851	-3.2573	0	6574
"3"	0.0269	0.2885	0.7823	0.3625	0.9454	0.7624	0.9458	0.73	13.9442	-3.0765	0	5368
"4"	0.0271	0.5127	0.7257	0.6261	0.8788	0.7991	0.9198	0.5136	12.6593	-2.4035	0	6208
"5"	0.01	0	0.3799	0.1943	0.4914	0.4275	0.5263	0.9205	4.7522	-0.1255	0	6754
"6"	0.01	0.3755	0.3883	0.383	0.6298	0.5937	0.6739	0.6143	6.9604	-5.6605	0	7157
"7"	0.0254	0.1786	0.1645	0.1754	0.669	0.6443	0.6598	0.2191	23.4781	-7.3331	0	9321
"8"	0.0487	0.2221	0.5958	0.3021	0.8619	0.6359	0.8992	0.6768	19.1331	-2.4319	0	3387
"9"	0.01	0.6076	0.7463	0.6755	0.9405	0.7566	0.9837	0.9217	11.3353	-1.9273	0	18389
"10"	0.0777	0.1716	0.3613	0.409	0.6376	0.5719	0.8354	0.5879	26.4153	-5.2309	0	5816
"11"	0.0578	0.1846	0.4542	0.3183	0.799	0.6666	0.8708	0.6364	22.3869	-1.4112	0	4255
"12"	0.1154	0	0.305	0.1858	0.7479	0.5356	0.8424	0.6959	30.4394	-2.4287	0	4723
"13"	0.0232	0	0.1289	0.0678	0.8068	0.2609	0.8409	0.9639	9.4479	-1.0211	0	8119
"14"	0.0459	0.0984	0.3512	0.2114	0.5791	0.5169	0.9422	0.2197	15.5031	-7.104	0	6896
"15"	0.0493	0.4189	0.4508	0.4874	0.7637	0.673	0.8321	0.8099	20.7572	-5.7673	0	4567
"16"	0.3059	0.6666	0.6667	0.1117	1	0.6666	0.6667	0.4642	60.2348	-9.5784	0	6791
"17"	0.0251	0.1812	0.3719	0.3067	0.6809	0.5466	0.8098	0.6101	8.1033	-4.9504	0	4605
"18"	0.029	0.2988	0.5912	0.4197	0.8727	0.6786	0.9257	0.6045	12.7522	-6.6098	0	7837
"19"	0.0195	0.0681	0.3294	0.1289	0.5724	0.4815	0.759	0.5366	8.4975	-30.9706	0	14040
"20"	0.0555	0.0932	0.3138	0.229	0.61	0.5183	0.7432	0.5628	18.7229	-6.999	0	3843
"21"	0.1012	0.0262	0.4121	0.2005	0.742	0.6493	0.8834	0.6305	32.081	-3.7982	0	2632
"22"	0.1379	0.2138	0.4337	0.3235	0.8192	0.6015	0.8688	0.5129	44.4086	-6.0276	0	1486
"23"	0.0532	0.2191	0.3204	0.2786	0.6413	0.6489	0.7603	0.5611	19.6495	-7.7244	0	2564
"24"	0.1195	0.0611	0.4612	0.3024	0.8224	0.7602	0.9491	0.4778	34.2454	-12.9685	0	3321
"25"	0.01	0.2828	0.5501	0.425	0.7342	0.6493	0.8313	0.1802	0.0429	-4.296	0	13979
"26"	0.0396	0.1271	0.2778	0.2682	0.5453	0.4993	0.7438	0.4911	16.7436	-7.3624	0	4753
"27"	0.0869	0.1698	0.4325	0.1986	0.6596	0.553	0.8619	0.6648	27.044	-2.4273	0	3005
"28"	0.0849	0	0.431	0.1389	0.7518	0.6677	0.8858	0.8835	20.4427	-13.0833	0	3963
"29"	0.0823	0.1352	0.7753	0.4466	0.8753	0.7955	1	0.4744	23.7657	-3.4694	0	4600
"30"	0.1048	0.4304	0.7067	0.6319	0.8465	0.8221	0.8737	0.5829	40.3523	-8.1982	0	2558
