"sig"	"w1"	"w2"	"w3"	"w12"	"w13"	"w23"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.009	0.0186	0.0135	0.1309	0.0294	0.1729	17.4975	-1.4278	0	12648
"2"	0.0528	0.0936	0.1879	0.1614	0.6923	0.3587	0.9105	25.0537	-16.0293	0	4198
"3"	0.0808	0.0226	0.2043	0.0605	0.4654	0.1577	0.4125	40.7793	-9.2898	0	4416
"4"	0.0511	0.1517	0.2807	0.2193	0.4483	0.3089	0.5407	22.9572	-5.2497	0	3132
"5"	0.01	0	0.0069	7e-04	0.0307	7e-04	0.1475	27.8766	-5.5881	0	9345
"6"	0.01	0.0218	0.0317	0.028	0.171	0.1476	0.2026	12.1444	-3.9516	0	7932
"7"	0.0144	0.1047	0.0974	0.103	0.6204	0.6077	0.6171	23.5001	-6.8323	0	2566
"8"	0.0757	0	0.122	0.0355	0.382	0.0938	0.3564	43.3169	-7.9636	0	5063
"9"	0.0714	0.0073	0.0706	0.0317	0.1826	0.0317	0.4101	44.5274	-9.1772	0	7530
"10"	0.061	0.0088	0.0611	0.0642	0.1746	0.1327	0.3877	42.8517	-4.3431	0	3583
"11"	0.0629	0.0131	0.0755	0.0501	0.3107	0.1411	0.4555	40.3456	-4.3475	0	2664
"12"	0.0807	0	0.0483	0.0126	0.1814	0.0823	0.3332	52.6861	-4.9924	0	6276
"13"	0.0115	0	0.0013	0	0.0308	5e-04	0.1504	30.1468	-5.9842	0	9007
"14"	0.0384	0.0574	0.2353	0.1276	0.4156	0.3741	0.9245	17.1663	-8.6043	0	2210
"15"	0.0401	0.0106	0.0125	0.0285	0.1313	0.0307	0.166	44.0496	-10.8369	0	6613
"16"	0.3661	0.4393	0.466	0	0.9995	0.4393	0.466	61.8702	-11.1074	0	4062
"17"	0.0388	0.0043	0.0476	0.0325	0.1886	0.087	0.2945	36.0001	-8.5518	0	5004
"18"	0.0408	0.0441	0.1478	0.0948	0.7289	0.2037	0.7699	24.8132	-2.0807	0	5811
"19"	0.0345	0	0.0549	0.0166	0.1597	0.0946	0.2902	31.9462	-9.0064	0	6524
"20"	0.0399	0	0.0468	0.0254	0.1627	0.0966	0.2722	36.8101	-11.8602	0	3038
"21"	0.0855	0	0.0946	0.0235	0.252	0.1357	0.3862	50.7961	-5.6673	0	4342
"22"	0.1157	0.0327	0.1474	0.0809	0.3779	0.1883	0.4793	54.0865	-8.5222	0	2058
"23"	0.0295	0.0224	0.0434	0.034	0.1851	0.182	0.2799	33.3806	-15.587	0	4472
"24"	0.1118	0	0.1687	0.089	0.4996	0.3604	0.6447	44.4137	-17.5117	0	5994
"25"	0.01	0.2108	0.4312	0.3277	0.6652	0.5482	0.7884	0.0847	-0.1714	0	3392
"26"	0.0447	0.0099	0.0524	0.0542	0.1702	0.1324	0.3199	37.1626	-11.0904	0	5396
"27"	0.0593	0.0026	0.0576	0.0039	0.1431	0.0411	0.3698	42.4334	-8.7932	0	5910
"28"	0.0159	1e-04	0.0068	0	0.037	0.0039	0.1901	33.2829	-58.9048	0	12581
"29"	0.0944	0.0327	0.3648	0.1459	0.5316	0.4083	0.9218	29.7103	-3.236	0	1958
"30"	0.115	0.122	0.2739	0.2302	0.3843	0.3386	0.4186	48.202	-8.9096	0	3886
"31"	0.0752	0	0.094	0.0661	0.2218	0.1067	0.4527	44.4211	-5.9245	0	5695
"32"	0.0602	0.0719	0.1354	0.1269	0.716	0.2774	0.7902	34.0025	-23.2535	0	2301
"33"	0.0422	0.0427	0.119	0.0791	0.1891	0.1413	0.6662	27.6714	-4.7567	0	5902
"34"	0.01	0.0049	0.0154	0.0118	0.0811	0.0377	0.1559	24.3421	-10.7049	0	3706
"35"	0.01	0.0921	0.1512	0.1013	0.5338	0.5296	0.5379	14.597	-457.8334	0	7798
"36"	0.0799	0.0973	0.0976	0.1174	0.3033	0.2631	0.3162	50.2901	-10.5609	0	3820
"37"	0.01	0.0029	0.0142	0.0092	0.0351	0.0126	0.1631	25.3894	-4.1108	0	10079
"38"	0.0731	0	0.1382	0.0753	0.1774	0.0753	0.4216	40.1674	-6.2219	0	12732
"39"	0.0115	0.3297	0.3284	0.3189	0.6724	0.666	0.6745	14.9256	-6.4828	0	966
"40"	0.01	0.0097	0.0139	0.0123	0.1354	0.0488	0.1588	23.1195	-1.8061	0	5798
"41"	0.01	0.2986	0.3218	0.3198	0.5539	0.5258	0.6015	4.503	-1.7138	0	3428
"42"	0.0677	0	0.0635	0.0228	0.1665	0.0228	0.3104	45.8358	-7.66	0	8702
"43"	0.01	0.1218	0.1207	0.1133	0.8241	0.7804	0.8082	10.8675	-3.5483	0	8096
"44"	0.054	0.1501	0.3794	0.2975	0.4928	0.4451	0.7287	19.379	-6.4531	0	2370
"45"	0.01	0	0.0045	0.0019	0.0306	0.0045	0.1682	25.1141	-4.8479	0	10073
"46"	0.0842	0.0728	0.2409	0.1798	0.603	0.3276	0.8296	33.5868	-6.6859	0	2698
"47"	0.0389	0.0224	0.0567	0.0481	0.2482	0.1317	0.3098	35.3666	-8.9953	0	6220
"48"	0.018	0.0134	0.1848	0.0543	0.2619	0.1659	0.9273	14.8159	-2.5609	0	4366
