"sig"	"p1"	"p2"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.6754	0	0.7878	0.334	80.6933	-16.9203	0	1096
"2"	0.1664	0.2353	0.4086	1.5186	41.2204	-7.5743	0	367
"3"	0.3118	0.1806	0.5659	1.4951	54.4633	-9.1996	0	299
"4"	0.0909	0.1928	0.4722	0.6611	28.6076	-7.6733	0	345
"5"	0.8722	0	0.7275	0.5524	83.9445	-16.9468	0	4211
"6"	0.39	0.2356	0.3915	1.0033	76.039	-15.9978	0	339
"7"	0.0625	0.3338	0.3313	7.7556	36.1959	-8.7285	0	474
"8"	0.4543	0.1525	0.5879	1.3815	67.0718	-8.9507	0	385
"9"	0.5086	0	0.7678	0.3343	73.882	-11.4998	0	1972
"10"	0.4145	0	0.5149	0.2242	70.4226	-12.6663	0	6862
"11"	0.4093	0.2041	0.451	1.5893	70.3386	-12.6466	0	343
"12"	0.6965	0	0.6886	0.5382	80.191	-13.4417	0	4832
"13"	1.0119	0	0.6877	0.5554	86.1781	-16.9723	0	2248
"14"	0.1628	0.2129	0.4437	1.858	35.9595	-4.6518	0	273
"15"	0.7454	0	0.6425	0.2052	84.1804	-16.6313	0	4402
"16"	0.3556	0.5026	0.4974	0.4589	61.6886	-10.8751	1	1950
"17"	0.4785	0.1357	0.4909	1.1305	75.707	-11.8637	0	265
"18"	0.268	0.1823	0.5035	1.3193	55.0551	-6.9163	0	335
"19"	0.5602	0	0.6829	0.4688	74.9766	-14.1359	1	5577
"20"	0.5177	0.1463	0.474	1.2295	77.4677	-17.1043	0	259
"21"	0.5171	0.1826	0.4983	1.7405	73.4589	-11.2084	0	323
"22"	0.3629	0.1909	0.4907	1.3374	66.5913	-10.5209	0	265
"23"	0.3996	0.2573	0.3667	1.5812	72.8838	-17.9491	0	225
"24"	0.2957	0.2426	0.414	2.7022	55.6126	-14.3235	0	313
"25"	0.01	0.2235	0.4383	1.0165	0.0992	-0.0952	0	980
"26"	0.4243	0.1624	0.4193	1.2044	73.6309	-15.1189	0	331
"27"	0.5459	0	0.8085	0.2854	75.8931	-11.6062	0	2695
"28"	0.7654	0	0.7591	0.3416	82.4701	-15.323	1	6222
"29"	0.1742	0.1822	0.4941	2.0203	34.9416	-4.929	0	377
"30"	0.2004	0.197	0.4435	0.7402	52.9649	-8.9141	0	383
"31"	0.428	0	0.6333	0.5191	67.9315	-11.4596	1	4569
"32"	0.2405	0.2373	0.4128	1.5401	55.1654	-6.9951	0	301
"33"	0.2634	0	0.6963	0.1716	59.2961	-11.8545	0	2901
"34"	0.5798	0.1309	0.477	1.0072	81.1216	-14.5421	0	191
"35"	0.0874	0.3236	0.3429	6.5901	40.2018	-48.3322	0	460
"36"	0.2738	0.3033	0.3368	1.1423	66.1675	-16.378	0	191
"37"	0.6967	0	0.716	0.4651	79.964	-16.7017	1	2741
"38"	0.3602	0	0.6694	0.528	61.2149	-12.584	1	4175
"39"	0.01	0.3345	0.3352	1.757	15.4362	-6.6078	0	646
"40"	0.598	0.2234	0.4232	1.3024	82.7049	-16.467	0	287
"41"	0.01	0.3051	0.3514	0.9176	6.153	-1.6104	0	1580
"42"	0.6082	0	0.7535	0.4898	76.4842	-11.4636	1	6502
"43"	0.01	0.3334	0.3338	6.519	25.7703	-7.1894	0	1799
"44"	0.0698	0.1577	0.4636	0.8681	20.6661	-6.115	0	406
"45"	0.8858	0	0.7274	0.4657	84.5047	-16.9673	1	3389
"46"	0.1855	0.1832	0.4582	1.3325	41.9537	-6.5473	0	265
"47"	0.3781	0.2379	0.4093	1.6281	70.4666	-12.2171	0	403
"48"	0.2591	0	0.7436	0.4514	44.7291	-9.0302	1	4881
