"sig"	"p1"	"p2"	"u"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2439	0.4673	0.7657	0.4158	8.2254	-0.0315	0	2182
"2"	0.0714	0.234	0.4121	0.3481	1.3634	25.845	-2.4213	0	728
"3"	0.0544	0.2315	0.5059	0.5247	1.46	18.939	-2.768	0	1118
"4"	0.0457	0.2186	0.4545	0.2565	0.8029	17.6522	-3.3774	0	998
"5"	0.01	0.232	0.4877	0.9578	2.1424	5.5348	-0.4744	0	1300
"6"	0.01	0.315	0.3507	0.5627	0.7249	10.662	-1.6943	0	1498
"7"	0.01	0.3344	0.3336	0.4451	1.0667	24.6621	-6.016	0	724
"8"	0.0537	0.2339	0.4831	0.6384	1.5444	19.4771	-2.5531	0	2740
"9"	0.0569	0.2071	0.4755	0.7756	1.6256	17.9616	-2.0914	0	922
"10"	0.0829	0.1928	0.4109	0.6151	1.1686	28.3165	-4.5383	0	468
"11"	0.0573	0.2461	0.4268	0.6391	1.5848	22.5354	-1.4654	0	838
"12"	0.1009	0.233	0.4409	0.7739	1.6557	32.5159	-2.715	0	516
"13"	0.0265	0.2752	0.4073	0.9658	2.0043	10.1195	-0.7981	0	1006
"14"	0.0632	0.2058	0.444	0.3539	1.4645	19.9965	-3.3747	0	694
"15"	0.0729	0.2602	0.406	0.7688	1.0217	25.7203	-4.9209	0	936
"16"	0.3303	0.5075	0.4925	0.3296	1.1363	59.578	-9.558	0	1934
"17"	0.0275	0.2286	0.4323	0.6635	1.2858	9.4596	-2.5988	0	728
"18"	0.0448	0.2306	0.4578	0.5116	1.4226	17.3168	-3.5804	0	814
"19"	0.0408	0.2126	0.4509	0.6539	1.1554	15.2582	-4.3015	0	588
"20"	0.0551	0.2366	0.4172	0.6635	1.2416	20.1218	-4.7609	0	762
"21"	0.0985	0.2235	0.4302	0.6846	1.7993	33.1741	-4.2922	0	1194
"22"	0.1411	0.2466	0.4407	0.5269	1.4	45.7399	-5.8341	0	416
"23"	0.0549	0.2797	0.3623	0.618	1.282	20.4797	-5.767	0	1006
"24"	0.1181	0.2225	0.4208	0.5015	2.2714	34.4313	-12.398	0	598
"25"	0.01	0.223	0.4467	0.1306	0.9756	0.172	-4.7299	0	3060
"26"	0.0484	0.2211	0.405	0.6059	1.0988	19.0694	-3.4084	0	622
"27"	0.0952	0.2086	0.4558	0.7156	1.2556	30.1632	-3.5169	0	602
"28"	0.0811	0.2309	0.4218	0.8928	1.6174	20.9726	-13.9637	0	818
"29"	0.1052	0.1798	0.4814	0.3299	2.0077	26.2413	-2.5117	0	808
"30"	0.1387	0.2259	0.4211	0.3235	0.9014	45.631	-8.0234	0	786
"31"	0.0765	0.1866	0.4518	0.6284	1.4261	25.0587	-2.1717	0	670
"32"	0.0571	0.2422	0.4082	0.4788	1.4989	22.172	-2.9093	0	1282
"33"	0.0539	0.1747	0.4558	0.5452	0.9476	19.2388	-3.0369	0	560
"34"	0.0568	0.2319	0.4069	0.681	0.7256	22.6008	-7.9356	0	796
"35"	0.0397	0.303	0.3708	0.4065	1.0806	20.1003	-9.068	0	1118
"36"	0.0502	0.321	0.3417	0.5058	1.1488	27.4695	-8.3915	0	1144
"37"	0.0476	0.1603	0.4758	0.7396	0.5201	18.3315	-2.1563	0	500
"38"	0.0821	0.0782	0.5357	0.6086	1.0865	21.3449	-4.643	0	534
"39"	0.01	0.3345	0.3354	0.045	1.4745	15.3963	-6.537	0	1182
"40"	0.01	0.3141	0.3614	0.8575	1.1703	12.8115	-0.3641	0	828
"41"	0.01	0.2973	0.3586	0.2196	0.6804	5.3823	-1.193	0	1800
"42"	0.0406	0.2143	0.4703	0.8281	1.8555	15.1985	-1.0246	0	900
"43"	0.01	0.3335	0.3404	0.456	1.3371	12.0012	-2.4506	0	1260
"44"	0.0629	0.1684	0.4604	0.1453	0.8782	19.9136	-5.6608	0	1680
"45"	0.01	0.1372	0.4613	0.8915	0.8699	4.4409	-0.0037	0	2076
"46"	0.1015	0.2029	0.4438	0.3337	1.3655	32.1015	-2.705	0	414
"47"	0.0376	0.2667	0.4017	0.6119	1.3244	16.4957	-3.8926	0	944
"48"	0.0692	0.1126	0.5378	0.4545	0.9977	19.7293	-3.3166	0	874
