"sig"	"p1"	"p2"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0429	0.251	0.4409	0.7009	16.0056	-0.4353	0	496
"2"	0.0776	0.2187	0.4276	0.3352	29.5849	-2.5493	0	402
"3"	0.0588	0.2161	0.5381	0.4696	22.7409	-4.0786	0	790
"4"	0.0538	0.2305	0.4422	0.2666	19.7548	-4.9624	0	696
"5"	0.0101	0.2428	0.4784	0.9402	6.0873	-0.2304	0	454
"6"	0.0423	0.2865	0.3781	0.6039	14.869	-2.3842	0	406
"7"	0.01	0.3346	0.3339	0.4465	30.3896	-8.5053	0	584
"8"	0.071	0.2154	0.5184	0.5652	25.7958	-1.8873	0	524
"9"	0.0749	0.1851	0.5002	0.679	22.9266	-3.9374	0	398
"10"	0.0825	0.1882	0.4134	0.6022	29.0399	-4.6822	0	281
"11"	0.0789	0.2302	0.4485	0.5581	31.4627	-1.9495	0	469
"12"	0.1206	0.2174	0.4644	0.7093	37.8093	-4.2538	0	381
"13"	0.0365	0.2509	0.4405	0.9403	10.4758	-0.6915	0	878
"14"	0.0716	0.1843	0.4685	0.3299	25.3077	-5.6595	0	710
"15"	0.0728	0.2591	0.407	0.7664	25.7268	-4.8744	0	614
"16"	0.3244	0.5031	0.4969	0.3107	59.5604	-9.5843	0	649
"17"	0.0361	0.2177	0.4406	0.6281	13.6244	-5.2633	0	704
"18"	0.0588	0.2165	0.4835	0.4561	23.8649	-6.4609	0	468
"19"	0.0437	0.2075	0.4563	0.6415	16.4133	-3.3235	0	546
"20"	0.0597	0.2278	0.4236	0.6395	21.8808	-3.3279	0	528
"21"	0.1187	0.2109	0.4509	0.5937	40.969	-6.3161	0	387
"22"	0.1384	0.2336	0.4616	0.4858	47.8035	-7.0366	0	333
"23"	0.0603	0.2726	0.3655	0.5713	22.7718	-4.45	0	424
"24"	0.1338	0.2105	0.4435	0.4217	46.0841	-8.9756	0	775
"25"	0.01	0.2385	0.4269	0.0884	0.2022	-0.3731	0	4319
"26"	0.0493	0.2179	0.4067	0.5995	19.6154	-2.9204	0	440
"27"	0.0984	0.1951	0.4673	0.6892	31.3231	-4.5542	0	505
"28"	0.0938	0.2	0.4464	0.8355	23.3486	-10.6455	0	494
"29"	0.1089	0.1546	0.529	0.2868	32.5292	-3.8998	0	347
"30"	0.1428	0.2296	0.4163	0.333	45.7537	-7.5806	0	291
"31"	0.0827	0.1783	0.4678	0.5841	28.4473	-3.0844	0	209
"32"	0.0753	0.2357	0.4215	0.4342	30.8185	-7.1528	0	245
"33"	0.0545	0.1782	0.4526	0.5518	19.3579	-3.157	0	1116
"34"	0.0718	0.2386	0.4017	0.6816	24.8363	-5.0708	0	552
"35"	0.0363	0.3048	0.37	0.4102	20.6531	-9.0093	0	440
"36"	0.01	0.3309	0.3353	0.4578	28.8209	-7.5943	0	512
"37"	0.0822	0.183	0.4555	0.7411	24.1206	-3.456	0	474
"38"	0.0823	0.0753	0.5434	0.5982	21.3927	-4.3296	0	440
"39"	0.01	0.3347	0.3364	0.0115	15.3957	-6.6249	0	546
"40"	0.01	0.3135	0.362	0.8586	13.4309	-0.4016	0	624
"41"	0.01	0.3074	0.3511	0.2132	5.7391	-1.2158	0	1088
"42"	0.0734	0.1941	0.489	0.706	22.9516	-4.4669	0	1176
"43"	0.031	0.3353	0.3495	0.447	27.0131	-6.9799	0	474
"44"	0.0673	0.1786	0.4534	0.1466	20.3599	-5.0352	0	752
"45"	0.01	0.1237	0.4651	0.895	4.4777	-0.0097	0	696
"46"	0.1011	0.1863	0.4629	0.309	34.1102	-3.0007	0	381
"47"	0.0513	0.2584	0.4084	0.5624	21.7476	-5.8493	0	428
"48"	0.0692	0.1127	0.5376	0.4548	19.7294	-3.3041	0	556
