"sig"	"p1"	"p2"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.6832	0.0967	0.5817	81.6709	-16.108	0	152
"2"	0.1602	0.2051	0.4325	42.8752	-6.6565	0	222
"3"	0.29	0.1555	0.6185	55.1771	-9.0481	0	335
"4"	0.1091	0.2169	0.4483	30.7015	-10.0956	0	166
"5"	1.0331	0	0.6927	84.8537	-16.8786	0	270
"6"	0.3896	0.2354	0.3917	76.039	-15.9888	0	120
"7"	0.2028	0.3401	0.3235	56.7224	-9.7821	0	114
"8"	0.433	0.1221	0.6404	67.4018	-8.7004	0	244
"9"	0.6539	0	0.6591	76.3997	-12.252	0	182
"10"	0.437	0.0991	0.4532	73.1311	-13.1135	0	174
"11"	0.3803	0.1602	0.4966	71.2145	-11.972	0	140
"12"	0.7206	0.0529	0.6014	81.3974	-13.4536	0	110
"13"	1.1739	0	0.6639	87.1374	-16.9416	0	150
"14"	0.1589	0.157	0.4889	39.5425	-4.7111	0	200
"15"	0.746	0.1292	0.4771	85.6504	-16.5863	0	96
"16"	0.3944	0.4971	0.5029	62.3297	-11.2765	0	428
"17"	0.4707	0.119	0.5052	75.7379	-11.8007	0	144
"18"	0.2552	0.1596	0.5335	55.5544	-7.0856	0	146
"19"	0.5281	0.0856	0.5538	76.3723	-13.7797	0	148
"20"	0.5033	0.118	0.4963	77.5452	-16.891	0	128
"21"	0.4891	0.1115	0.5738	74.2597	-11.6589	0	242
"22"	0.3416	0.1673	0.5195	66.9516	-10.6359	0	142
"23"	0.3545	0.2348	0.3779	73.4784	-16.3792	0	122
"24"	0.2784	0.1669	0.4843	60.9496	-12.3532	0	128
"25"	0.01	0.2222	0.4397	0.0998	-0.1238	0	656
"26"	0.4093	0.1421	0.4309	73.72	-14.6523	0	210
"27"	0.7276	0	0.6732	78.5488	-12.4781	0	126
"28"	0.9691	0	0.6641	84.5742	-15.3486	0	156
"29"	0.1765	0.124	0.5554	39.2293	-5.4088	0	154
"30"	0.2232	0.21	0.4291	53.3971	-8.4482	0	156
"31"	0.4602	0.0324	0.5605	69.8692	-11.7756	0	226
"32"	0.2258	0.2109	0.4384	56.5131	-7.6518	0	174
"33"	0.3669	0.0695	0.5197	65.0005	-13.7994	0	210
"34"	0.579	0.1301	0.4776	81.1217	-14.5372	0	114
"35"	0.1683	0.2817	0.3924	48.9129	-11.0057	0	126
"36"	0.2643	0.302	0.3379	66.2456	-15.8201	0	100
"37"	0.7721	0	0.6075	81.2397	-16.71	0	156
"38"	0.4234	0	0.6153	63.4623	-13.0046	0	598
"39"	0.0103	0.3348	0.3365	15.5267	-6.8037	0	270
"40"	0.5555	0.2078	0.4382	82.7981	-16.0612	0	94
"41"	0.01	0.3069	0.3502	6.188	-1.6342	0	390
"42"	0.7181	0	0.6858	77.9813	-11.7792	0	210
"43"	0.2106	0.3393	0.3604	57.8383	-8.9718	0	162
"44"	0.075	0.1694	0.4562	21.0795	-5.6621	0	340
"45"	1.0293	0	0.6373	85.7972	-17.0163	0	182
"46"	0.1759	0.1597	0.4785	42.6832	-6.3759	0	180
"47"	0.3423	0.2096	0.4384	71.3314	-11.3589	0	132
"48"	0.2935	0	0.6374	47.6966	-9.5374	0	400
