"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"alpha"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.092	0.5854	0.1257	0.828	0.2758	0.6718	0.6617	0.6904	5.6293	-0.0155	0	12384
"2"	0.0617	0.2818	0.2819	0.7462	0.7182	0.6683	0.2321	0.2616	0.5883	22.5354	-2.8651	0	17993
"3"	0.0408	0.2844	0.2844	0.7	0.6368	0.3891	0.2321	0.6435	0	16.6426	-3.3928	0	11728
"4"	0.037	0.1845	0.384	0.3436	0.5888	0.2675	0.4908	0.3934	0	14.0141	-2.6543	0	47425
"5"	0.01	0.287	0.287	0.5151	0.6891	0.4477	0.4602	0.9476	0.2301	5.5378	-0.1121	0	10157
"6"	0.029	0.2999	0.2999	0.446	0.4164	0.3956	0.2836	0.5499	0.9951	11.4931	-4.7385	0	17771
"7"	0.047	0.5385	0.5385	0.299	0.4371	0.2612	0.6067	0.461	0.3975	25.4429	-9.8349	0	9410
"8"	0.0307	0.1844	0.3559	0.5974	0.74	0.4077	0.3573	0.7867	0	17.7276	-2.3689	0	38530
"9"	0.0645	0.0727	0.2918	0.2243	0.7691	0.2785	0.4839	0.5281	0.8299	20.6777	-4.0394	0	10167
"10"	0.0791	0.0666	0.3062	0.2813	0.606	0.4779	0.4563	0.5629	0.6495	27.7802	-5.4225	0	4292
"11"	0.0504	0.3222	0.3227	0.4873	0.6662	0.5269	0.5127	0.6462	0.3528	21.5538	-0.6872	0	17414
"12"	0.095	0.001	0.2957	0.7043	0.7043	0.5638	0	0.7825	0.3336	31.6937	-2.6902	0	15809
"13"	0.0269	0.3884	0.3884	0.656	0.5407	0.4477	0.344	0.9064	1	8.2436	-0.6915	0	17765
"14"	0.0252	0	0.2581	0.1323	0.7309	0.0109	0.7311	0.1202	0.8327	12.4891	-20.2488	0	32642
"15"	0.0627	0.0389	0.4284	0.5425	0.772	0.5716	0.088	0.6635	0.6986	20.0496	-7.1145	0	18294
"16"	0.2903	0.508	0.66	0.6563	0.34	0	0	0.4286	0.132	58.8803	-9.6631	0	8147
"17"	0.0311	0.0607	0.376	0.0199	0.8725	0.6186	0.6072	0.5878	0.5608	12.7806	-6.7898	0	20658
"18"	0.053	0	0.4455	0.2269	0.8951	0.4782	0.4685	0.4015	0.576	21.5577	-6.5027	0	10438
"19"	0.036	0.2361	0.2361	0.2482	0.7574	0.6244	0.6226	0.6037	0.5599	14.6686	-7.1493	0	12731
"20"	0.0526	0.3271	0.3271	0.607	0.5572	0.4922	0.3852	0.5524	0.7414	17.8195	-9.1156	0	9230
"21"	0.2518	0	0.2682	0.4943	1	0.7318	0.5047	0.7163	0.5622	50.9227	-10.0867	0	3816
"22"	0.1399	0.1732	0.4255	0.6484	0.6484	0.3427	0.3516	0.4772	0.5377	46.4137	-6.6157	0	12095
"23"	0.0537	0.2857	0.3905	0.47	0.47	0.3945	0.4126	0.6285	0.313	20.5086	-5.4795	0	16384
"24"	0.0893	0.2669	0.2669	0.6842	0.1246	0.0773	0.3158	0.6836	0.0138	36.1174	-9.8342	0	10961
