"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"alpha"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.1256	0.5076	0.1378	0.7985	0.1104	0.6456	0.5698	0.7791	4.692	0	0	28392
"2"	0.0683	0.3251	0.5471	0.0764	0.8624	0.3765	0.8073	0.3971	0.3958	22.5918	-3.4405	0	14918
"3"	0.0356	0.0104	0.416	0.599	0.4817	0.3906	0.1412	0.682	0.1335	15.2922	-4.8736	0	22099
"4"	0.0393	0	0.6064	0.3955	0.7844	0.2425	0.7012	0.3071	0.4367	14.5636	-3.9396	0	25026
"5"	0.01	0	0.5864	0.3588	0.7992	0.2578	0.6412	0.8614	1	3.5401	-0.1587	0	41111
"6"	0.01	0.1996	0.4436	0.2139	0.5839	0.2073	0.5214	0.4558	1	6.5432	-7.7463	0	44158
"7"	0.0309	0.3551	0.5855	0.206	0.5717	0.4354	0.4354	0.3072	0.5824	20.9426	-11.1758	0	13346
"8"	0.0582	0.2039	0.4068	0.6157	0.609	0.1803	0.4581	0.5937	0.4474	20.1216	-2.5863	0	15662
"9"	0.0399	0.3189	0.5202	0	0.9487	0.3418	0.7216	0.7662	0.4544	13.874	-1.6585	0	21343
"10"	0.0744	0.3876	0	0.1886	0.6327	0.4238	0.4602	0.6641	0.3698	26.2323	-5.8911	0	21591
"11"	0.0587	0.3305	0.5532	0	0.7859	0.4464	0.6174	0.5726	0.5056	22.2147	-1.0531	0	2872
"12"	0.1165	0.4325	0.4297	0.0789	0.8557	0.4886	0.6776	0.6373	0.636	30.1474	-1.7807	0	10278
"13"	0.0221	0.1842	0.5625	0.2813	1	0.5345	0.6063	0.9271	1	7.6092	-0.2049	0	14483
"14"	0.0608	0.292	0.6374	0.492	1	0.216	0.8738	0.352	0.4622	19.143	-3.7695	0	5495
"15"	0.0657	0.0903	0.3965	0.0284	0.7753	0.1344	0.5232	0.6538	0.7152	22.3051	-5.2717	0	6972
"16"	0.4084	0.2568	0.9893	0.5191	0.9862	0	0.2241	0.4277	0.3097	58.6378	-9.5459	0	3614
"17"	0.0244	0.3266	0.1582	0.4947	0.5508	0.1786	0.4808	0.6396	0.4793	8.9513	-5.6055	0	19530
"18"	0.0334	0.0746	0.2867	0.558	0.558	0.3673	0.3673	0.5686	0	13.8133	-5.6063	0	24045
"19"	0.01	0.2491	0.405	0.4303	0.6671	0.2454	0.5465	0.4034	0.9933	6.1949	-60.2309	0	17908
"20"	0.0546	0.2263	0.6637	0.3328	0.8912	0.4409	0.7742	0.5564	0.5899	18.13	-7.7293	0	25936
"21"	0.1002	0.0917	0.7468	0.0699	1	0.4934	0.6	0.6354	0.4824	32.4916	-4.4962	0	7111
"22"	0.1431	0.0278	0.7512	0.2167	1	0.427	0.5485	0.4792	0.5101	45.1477	-5.5268	0	9973
"23"	0.055	0.4266	0.2492	0.5575	0.2975	0.016	0.641	0.6101	0.4713	20.5113	-5.7311	0	8923
"24"	0.1194	0.0828	0.7776	0.673	0.7049	0	0.9295	0.3564	0.5238	34.8194	-13.9991	0	12304
"25"	0.01	0.072	0.4126	0.4321	0.6498	0.344	0.5249	0.1226	0.4465	0.0463	-0.8275	0	34740
"26"	0.01	0.1994	0.6539	0.2037	0.8459	0.2288	0.8395	0.1974	0.8755	15.2377	-91.4189	0	25763
"27"	0.0947	0.272	0.4886	0.6032	0.7887	0	0.6374	0.6261	0.6309	27.1573	-3.0277	0	10370
"28"	0.0807	0.3451	0.0822	0	0.9994	0.0939	0.8717	0.8069	0.5287	18.1892	-14.4969	0	16414
"29"	0.1034	0	0.5205	0.5049	0.965	0.4951	0.5236	0.2964	0.4098	26.2735	-2.3311	0	5400
"30"	0.1047	0.0967	0.4601	0.1265	0.7581	0.1069	0.6785	0.5829	0.0813	40.3523	-8.1975	0	12257
"31"	0.0687	0.2651	0.5534	0	1	0.308	0.8905	0.6144	0.4696	22.4471	-1.4663	0	18460
"32"	0.042	0.31	0.5471	0	0.7732	0.4167	0.7088	0.5844	0.3005	17.2563	-3.0847	0	8964
"33"	0.0528	0.181	0.6336	0	0.9017	0.3664	0.819	0.6076	0.434	18.7853	-3.5237	0	90354
"34"	0.0519	0.2608	0.1036	0.3579	0.279	0	0.7821	0.5473	0.7168	20.0263	-7.1647	0	9520
"35"	0.01	0.3398	0.7317	0.3388	0.7639	0.2695	0.7504	0.3995	0.5358	16.2124	-13.0964	0	24305
"36"	0.031	0.3914	0.5981	1e-04	0.6142	0.4018	0.6085	0.663	0.2963	23.8687	-8.1708	0	17718
"37"	0.0128	0.0999	0.0156	0.0792	0.1278	0.0435	0.8566	0.5296	0.9842	14.2771	-3.0808	0	11068
"38"	0.0827	0	0.4345	0.506	0.9104	0.4064	0.7141	0.5834	0.5287	21.1129	-4.3972	0	7619
"39"	0.01	0.0886	0.7985	0.4574	0.8016	0.4488	0.793	0.047	0.4613	14.9455	-8.0624	0	11685
"40"	0.01	0.2506	0.4954	0.2667	0.5694	0.2671	0.5059	0.6897	0.997	11.6262	-0.1425	0	18110
"41"	0.01	0.3839	0.8454	0.4338	0.8771	0.1371	0.8712	0.3084	0.3839	5.3948	-0.8883	0	9320
"42"	0.0302	0.2448	0.6232	0.4225	0.8824	0.3037	0.7099	0.8718	0.2771	14.1522	-1.5788	0	12557
"43"	0.01	0.2233	0.7188	0.4757	0.5598	0.2207	0.7073	0.4379	0.4663	8.1551	-3.9019	0	17056
"44"	0.0472	0.1156	0.3829	0.2741	0.6777	0.2306	0.6103	0.0562	0.9265	19.4398	-6.0956	0	9456
"45"	0.01	0.0795	0.5086	0.2107	0.9996	0.4236	0.9803	0.9715	0.5065	5.8835	-0.4864	0	12475
"46"	0.1036	0.2733	0.6792	0.1753	0.9868	0.4618	0.8677	0.3613	0.4273	31.5529	-2.7911	0	4590
"47"	0.0356	0.3469	0.6767	0.4921	0.8517	0	0.7613	0.6042	0.4797	15.8937	-3.7953	0	9929
"48"	0.0158	0.0963	0.0638	0.1645	0.9527	0.0361	0.8389	0.078	0.8908	14.5365	-2.6569	0	15636
