"sig"	"b1"	"b2"	"b3"	"u"	"alpha"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0132	0.103	0.1994	0.1276	0.7711	0.699	11.6794	-0.1573	0	2012
"2"	0.0776	0.2196	0.4269	0.3536	0.3355	1	29.5869	-2.5712	1	4270
"3"	0.0611	0.2142	0.5399	0.246	0.471	0.3887	22.763	-4.0801	0	1905
"4"	0.0397	0.1767	0.3744	0.2682	0.3636	0	14.6915	-2.0256	0	4950
"5"	0.01	0.2401	0.4732	0.2759	0.94	0.9949	6.0873	-0.2306	0	1118
"6"	0.0155	0.2353	0.2759	0.2573	0.5772	0.5993	11.2848	-1.6875	0	1740
"7"	0.01	0.3346	0.3339	0.3315	0.4465	0.1777	30.3896	-8.5018	0	1738
"8"	0.0711	0.2153	0.5188	0.2659	0.565	0.1018	25.7961	-1.8814	0	1148
"9"	0.0752	0.185	0.501	0.314	0.6797	0.9673	22.9279	-3.9658	0	1993
"10"	0.0825	0.1881	0.4138	0.3981	0.6022	0.9942	29.0403	-4.6631	0	2299
"11"	0.0789	0.2302	0.4484	0.3213	0.5581	0.4222	31.4627	-1.9492	0	1114
"12"	0.1203	0.2171	0.4647	0.3181	0.7091	0.9487	37.8097	-4.2381	0	1484
"13"	0.0323	0.2222	0.3902	0.2734	0.9401	1	10.4758	-0.6916	0	1878
"14"	0.0716	0.1843	0.4684	0.3473	0.3299	1	25.3077	-5.66	1	8080
"15"	0.0728	0.2591	0.407	0.3339	0.7664	0.6507	25.7268	-4.8742	0	1808
"16"	0.3243	0.503	0.497	0	0.311	0.8868	59.5603	-9.5829	0	1460
"17"	0.0361	0.2175	0.4406	0.3419	0.6281	1	13.6245	-5.2447	0	1869
"18"	0.0588	0.2165	0.4835	0.3	0.4561	0.9961	23.8649	-6.4609	0	1300
"19"	0.0437	0.2074	0.4563	0.3363	0.6415	0.9963	16.4133	-3.3228	0	3779
"20"	0.0597	0.2278	0.4236	0.3486	0.6395	0.9969	21.8808	-3.3279	0	1427
"21"	0.1186	0.2109	0.4508	0.3383	0.5936	0.9102	40.969	-6.3156	0	1314
"22"	0.1384	0.2335	0.4616	0.3049	0.4858	0.2731	47.8035	-7.0363	0	1744
"23"	0.0603	0.2726	0.3655	0.3619	0.5713	0.92	22.7718	-4.4505	0	1066
"24"	0.1343	0.2104	0.4451	0.3445	0.4211	0.7816	46.0881	-9.0137	0	1884
"25"	0.01	0.2207	0.4446	0.3347	0.1163	1	0.0677	-0.9816	0	6873
"26"	0.0493	0.2179	0.4067	0.3754	0.5993	0.977	19.6155	-2.9204	0	1718
"27"	0.0984	0.1951	0.4673	0.3376	0.6893	0.9983	31.3231	-4.5544	0	4904
"28"	0.0938	0.2	0.4461	0.3539	0.8356	0.9993	23.3489	-10.6768	0	3323
"29"	0.1086	0.155	0.529	0.316	0.2867	0.8628	32.5295	-3.896	0	4505
"30"	0.1428	0.2296	0.4163	0.354	0.333	0.981	45.7537	-7.581	0	2307
"31"	0.0827	0.1781	0.4678	0.3541	0.5841	0.7775	28.4473	-3.0889	0	1232
"32"	0.0753	0.2357	0.4213	0.3429	0.4339	0.7522	30.8187	-7.1335	0	1833
"33"	0.0545	0.1782	0.4526	0.3692	0.5519	0.6781	19.3579	-3.1525	0	1548
"34"	0.0475	0.1556	0.2855	0.2524	0.6112	1	20.9013	-13.0505	0	3326
"35"	0.0371	0.3044	0.3708	0.3248	0.4098	0.0314	20.6541	-9.0243	0	2879
"36"	0.0127	0.3302	0.3358	0.334	0.4599	0.7969	28.8216	-7.5932	0	902
"37"	0.0266	0.0495	0.1537	0.1205	0.7341	0.9107	19.3039	-1.9483	0	986
"38"	0.0823	0.0744	0.5425	0.3803	0.5971	0.9794	21.392	-4.3165	0	1587
"39"	0.01	0.3347	0.3365	0.3288	0.0112	0.62	15.3958	-6.6158	0	4667
"40"	0.0138	0.3082	0.3682	0.3236	0.8287	0.8851	13.4487	-0.3809	0	772
"41"	0.01	0.2447	0.2834	0.2715	0.3452	0	5.613	-0.9785	0	2828
"42"	0.0734	0.1942	0.4891	0.3167	0.7061	0.9182	22.9517	-4.4699	0	1058
"43"	0.0375	0.3357	0.3528	0.3115	0.4466	0.1344	27.0137	-6.9898	0	998
"44"	0.0583	0.1396	0.3875	0.3119	0.1219	0.8398	19.7826	-6.0577	0	4620
"45"	0.01	0.1289	0.4108	0.3542	0.8974	0	4.3513	-0.0023	0	1775
"46"	0.0993	0.1887	0.461	0.3503	0.319	1	34.1542	-2.9471	1	5743
"47"	0.0513	0.2584	0.4084	0.3332	0.5624	0.9955	21.7476	-5.8483	0	3030
"48"	0.0692	0.1128	0.5375	0.3497	0.4547	0.7112	19.7294	-3.3034	0	2326
