"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.1121	0.6648	0.2127	0.7603	0.1225	0.6799	0.8748	12.9528	-0.3463	0	19178
"2"	0.063	0	0.3716	0.2108	0.5797	0.1102	0.5445	0.5039	21.7428	-3.0346	0	6341
"3"	0.0417	0.2314	0.2785	0.6382	0.6886	0.3826	0.2841	0.6325	16.7744	-3.8	0	6552
"4"	0.0367	0.1838	0.389	0.34	0.5934	0.2673	0.4964	0.3983	14.0088	-2.6777	0	9404
"5"	0.3512	0.3309	0.3513	0.6953	0.6419	0.4035	0.3047	1	50.4969	-9.5142	0	3860
"6"	0.0162	0.1795	0.5835	0.2177	0.6161	0.1988	0.5991	0.7729	14.1822	-2.6011	0	4345
"7"	0.0101	0.3493	0.3577	0.3409	0.3571	0.344	0.3589	0.4711	23.5835	-8.0666	0	12132
"8"	0.01	0.0483	0.4647	0.7342	0.9379	0.4782	0.2593	0.9505	19.7633	-1.964	0	8954
"9"	0.0368	0.2851	0.2851	0.5361	0.5667	0.3437	0.406	0.8	14.3939	-1.8095	0	10532
"10"	0.0745	0.2511	0.2511	0.3941	0.4406	0.3932	0.4866	0.6479	26.5848	-6.1289	0	10904
"11"	0.0456	0.2663	0.3171	0.4732	0.6067	0.4539	0.4539	0.7432	22.7215	-1.0969	0	8544
"12"	0.0903	0.2885	0.2885	0.4376	0.5633	0.4167	0.475	0.8225	32.8467	-3.4889	0	10253
"13"	0.0114	0.3468	0.3468	0.4468	0.5894	0.4475	0.506	0.9859	10.2755	-0.7097	0	7340
"14"	0.0663	0.2299	0.2507	0.5769	0.5596	0.4337	0.3987	0.4294	21.9565	-4.1229	0	9497
"15"	0.0488	0.3828	0.3828	0.4247	0.4092	0.3361	0.4289	0.8381	22.3123	-5.8996	0	7293
"16"	0.2998	0.3875	0.6228	0.3772	0.6125	0	0.1122	0.4244	58.9701	-9.5936	0	16062
"17"	0.0264	0.2616	0.2616	0.4665	0.4837	0.3774	0.3897	0.6897	10.0007	-3.9296	0	5808
"18"	0.0319	0.0738	0.295	0.3434	0.5393	0.1412	0.3936	0.5762	13.0711	-6.0353	0	4727
"19"	0.0382	0.1889	0.256	0.4914	0.5374	0.3721	0.3567	0.7009	15.3768	-3.2145	0	6657
"20"	0.0538	0.2406	0.2406	0.5013	0.5092	0.4406	0.3428	0.7199	20.2984	-3.6926	0	6514
"21"	0.0788	0.225	0.3107	0.6337	0.6337	0.4828	0.3205	0.7766	34.4917	-5.1194	0	5897
"22"	0.1278	0.316	0.316	0.4894	0.536	0.364	0.4148	0.5937	45.0596	-5.9998	0	4300
"23"	0.01	0.4677	0.4845	0.4817	0.4982	0.4823	0.4966	0.9546	22.5806	-5.4093	0	4049
"24"	0.0873	0.2654	0.2654	0.6912	0.1236	0.0789	0.3088	0.6945	36.1182	-10.0066	0	3922
"25"	0.01	0.0873	0.6448	0.243	0.7638	0.1664	0.703	0.1479	1.4089	-4.4925	0	6623
"26"	0.045	0.1938	0.251	0.4234	0.3821	0.3376	0.3539	0.6271	18.5766	-3.2996	0	12554
"27"	0.0529	0.346	0.3716	0.721	0.5067	0.4175	0.2279	0.8477	26.9063	-2.5768	0	9407
"28"	0.01	0.2601	0.4651	0.9278	0.7132	0.4975	0.0609	0.9875	19.599	-19.1374	0	15553
"29"	0.0588	0.0549	0.2413	0.6041	0.8841	0.6196	0.3959	0.6462	24.5498	-4.061	0	17477
"30"	0.1224	0.2016	0.3441	0.2646	0.6124	0.4137	0.5533	0.5087	41.9438	-8.0756	0	6458
"31"	0.0594	0.1919	0.1919	0.6196	0.6334	0.5385	0.3294	0.7455	24.3272	-1.9768	0	8492
"32"	0.0403	0.0412	0.3106	0.5353	0.5353	0.4698	0.1541	0.5816	16.8301	-3.0371	0	7759
"33"	0.0249	0.1497	0.4854	0.7014	0.2587	0.225	0.2472	0.7333	14.7184	-2.5389	0	7469
"34"	0.0703	0.2319	0.2567	0.3824	0.426	0.3514	0.3857	0.6977	24.7748	-5.0876	0	7643
"35"	0.0243	0.2893	0.333	0.4099	0.3651	0.3456	0.3008	0.443	18.0305	-7.8185	0	13481
"36"	0.01	0.3777	0.3856	0.3743	0.3886	0.3769	0.3944	0.5783	22.7204	-8.9738	0	6726
"37"	0.0579	0.1321	0.4189	0.3126	0.6339	0.2685	0.5685	0.8378	23.3087	-2.4692	0	14648
"38"	0.0718	0.0757	0.0757	0.4654	0.6195	0.4655	0.4811	0.6722	20.9055	-4.2874	0	10983
"39"	0.01	0.4675	0.4765	0.4696	0.4679	0.4507	0.465	0.32	14.4011	-9.7338	0	11727
"40"	0.01	0.2639	0.4259	0.293	0.47	0.2903	0.4452	0.9311	15.3379	-1.04	0	7814
"41"	0.7742	0.3242	0.6644	0.0253	0.6758	0.3356	0.9747	-0.0188	59.1996	-16.9332	0	2708
"42"	0.01	0.1602	0.2933	0.6076	0.8049	0.5386	0.3804	0.9579	13.5515	-1.6933	0	17878
"43"	0.0122	0.4686	0.4686	0.4743	0.4565	0.425	0.445	0.5297	9.92	-1.4561	0	12007
"44"	0.0673	0.1488	0.2617	0.4817	0.5699	0.4016	0.462	0.2237	19.2723	-4.5155	0	4740
"45"	0.01	0.1344	0.1344	0.6281	0.6141	0.5631	0.2792	0.9218	4.1221	-0.0322	0	34145
"46"	0.1008	0.2423	0.2423	0.5801	0.5832	0.4786	0.3899	0.4416	31.5461	-2.9986	0	7445
"47"	0.0287	0.3399	0.3399	0.4226	0.4798	0.3927	0.4389	0.6971	16.1639	-7.2531	0	3774
"48"	0.0669	0.0261	0.179	0.5851	0.5851	0.3493	0.2974	0.4966	18.3804	-3.3023	0	12761
