"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0265	0.1729	0.4491	0.3376	0.5885	0.2134	0.4895	0.7902	13.4154	-0.3711	0	8570
"2"	0.0661	0.2555	0.3965	0.447	0.6179	0.2975	0.5454	0.5259	25.131	-2.4863	0	4612
"3"	0.0287	0.3303	0.0601	0.5158	0.6235	0.1539	0.4242	0.72	13.7532	-4.7247	0	7796
"4"	0.01	0.093	0.7375	0.1138	0.8795	0.1066	0.8308	0.7262	9.1751	-15.8867	0	7835
"5"	0.01	0.2363	0.1889	0.453	0.6608	0.2737	0.4726	0.9505	4.9442	-0.2254	0	22124
"6"	0.0207	0.1994	0.5245	0.251	0.5576	0.2245	0.5485	0.7395	13.9551	-3.0524	0	5061
"7"	0.0191	0.343	0.4134	0.35	0.4076	0.3032	0.4061	0.5151	21.5001	-8.1864	0	10018
"8"	0.0153	0.1384	0.654	0.2346	0.8331	0.1466	0.7014	0.8477	17.4044	-2.3573	0	14845
"9"	0.01	0.1163	0.3441	0.4712	0.4848	0.0405	0.516	0.9433	11.9436	-3.2985	0	5968
"10"	0.0725	0.2515	0.1364	0.3299	0.4808	0.4186	0.434	0.6842	26.3744	-6.0997	0	7132
"11"	0.0506	0.2942	0.2929	0.471	0.5601	0.2328	0.44	0.7107	23.0594	-1.1005	0	3836
"12"	0.0851	0.2781	0.1143	0.3567	0.589	0.3313	0.4472	0.8374	32.1604	-3.7256	0	2745
"13"	0.0321	0.2414	0.2413	0.4199	0.5692	0.2821	0.4379	0.955	10.1516	-0.618	0	6556
"14"	0.0672	0.2356	0.2191	0.5469	0.5176	0.2175	0.4332	0.4208	22.2533	-4.5742	0	12470
"15"	0.0341	0.1567	0.5459	0.2861	0.5871	0.2081	0.5974	0.8622	18.6285	-6.3085	0	8042
"16"	0.3282	0.466	0.7299	0.351	0.7157	0	0.1934	0.4834	59.0588	-9.4474	0	10163
