"sig"	"b1"	"b2"	"b3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0135	0.1253	0.237	0.1447	0.8589	13.8079	-0.3969	0	1298
"2"	0.0776	0.2187	0.4275	0.3538	0.3352	29.585	-2.5526	0	950
"3"	0.0587	0.2162	0.5381	0.2458	0.4695	22.7409	-4.0782	0	2439
"4"	0.0397	0.177	0.3749	0.2688	0.3629	14.6911	-2.047	0	786
"5"	0.01	0.1734	0.3423	0.2282	0.9205	6.1142	-0.0945	0	2346
"6"	0.0302	0.2371	0.3029	0.2722	0.6872	14.2077	-2.2017	0	1326
"7"	0.036	0.338	0.3351	0.3269	0.4377	30.3971	-8.513	0	2520
"8"	0.071	0.2154	0.5184	0.2662	0.5652	25.7958	-1.8893	0	2278
"9"	0.0655	0.1534	0.4388	0.2697	0.7301	22.4744	-4.5391	0	628
"10"	0.0827	0.188	0.4133	0.3987	0.6023	29.0402	-4.703	0	1378
"11"	0.0789	0.2302	0.4485	0.3213	0.5581	31.4627	-1.9492	0	1046
"12"	0.1206	0.2175	0.4642	0.3182	0.7092	37.8093	-4.2541	0	1933
"13"	0.0365	0.2508	0.4406	0.3086	0.9403	10.4758	-0.6915	0	3103
"14"	0.0716	0.1843	0.4685	0.3472	0.3299	25.3077	-5.6606	0	1816
"15"	0.0498	0.1683	0.2755	0.222	0.8589	24.6678	-4.9416	0	908
"16"	0.3192	0.4927	0.4866	0	0.3206	59.5537	-9.5418	0	1865
"17"	0.036	0.2178	0.4405	0.3417	0.628	13.6244	-5.2616	0	910
"18"	0.0589	0.2164	0.4835	0.3001	0.4561	23.8649	-6.45	0	2876
"19"	0.0437	0.2076	0.4563	0.3361	0.6415	16.4134	-3.3262	0	1486
"20"	0.0597	0.2279	0.4235	0.3486	0.6398	21.8809	-3.316	0	2622
"21"	0.1186	0.2111	0.4507	0.3382	0.5939	40.9691	-6.3188	0	2244
"22"	0.1382	0.2337	0.4616	0.3047	0.4861	47.8036	-7.0383	0	1234
"23"	0.0603	0.2726	0.3655	0.3619	0.5713	22.7718	-4.4504	0	740
"24"	0.1339	0.2105	0.4435	0.346	0.4218	46.0841	-8.9753	0	2172
"25"	0.01	0.2159	0.4423	0.331	0.1214	0.0625	-1.7821	0	2928
"26"	0.0492	0.2178	0.4067	0.3754	0.5994	19.6155	-2.9178	0	2216
"27"	0.0984	0.1951	0.4674	0.3375	0.6894	31.3231	-4.5565	0	1649
"28"	0.0938	0.2	0.4464	0.3536	0.8354	23.3486	-10.6512	0	830
"29"	0.1082	0.154	0.5289	0.3171	0.2876	32.5309	-3.8931	0	1370
"30"	0.1334	0.1801	0.3588	0.2965	0.4181	44.4534	-8.8962	0	458
"31"	0.0827	0.1783	0.4678	0.3539	0.5841	28.4473	-3.0833	0	1480
"32"	0.0753	0.2358	0.4216	0.3427	0.4338	30.8187	-7.1454	0	1508
"33"	0.047	0.1379	0.3935	0.3161	0.6218	18.1202	-2.2776	0	1334
"34"	0.0718	0.2386	0.4017	0.3597	0.6816	24.8363	-5.0706	0	1688
"35"	0.037	0.3042	0.3707	0.325	0.4092	20.6536	-9.0066	0	1774
"36"	0.01	0.222	0.226	0.2234	0.6861	26.7953	-62.4414	0	646
"37"	0.0693	0.1452	0.3772	0.2982	0.7955	23.704	-3.1061	0	1743
"38"	0.0823	0.0754	0.5433	0.3813	0.5982	21.3927	-4.3275	0	1102
"39"	0.01	0.3347	0.3364	0.3288	0.0115	15.3957	-6.6245	0	1300
"40"	0.0127	0.3096	0.3665	0.3239	0.8369	13.4413	-0.3859	0	1656
"41"	0.01	0.3002	0.3425	0.3326	0.231	5.7093	-1.1782	0	978
"42"	0.0733	0.194	0.4887	0.3172	0.7062	22.9518	-4.4751	0	1434
"43"	0.011	0.334	0.3391	0.3269	0.449	27.0132	-6.9768	0	1566
"44"	0.0666	0.1645	0.4405	0.3575	0.1626	20.1343	-5.3473	0	1838
"45"	0.01	0.1261	0.4207	0.3655	0.8988	4.3509	-0.0024	0	2012
"46"	0.101	0.1864	0.4628	0.3508	0.309	34.1102	-2.9988	0	1330
"47"	0.0513	0.2585	0.4084	0.3331	0.5623	21.7477	-5.852	0	1458
"48"	0.0693	0.1126	0.5377	0.3497	0.4548	19.7294	-3.3103	0	1674
