"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.0941	0.6397	0.1577	0.796	0.1674	0.7061	0.5279	6.1589	-0.0392	0	8607
"2"	0.0526	0.0814	0.265	0.5735	0.6538	0.5283	0.1615	0.1288	24.2726	-3.2725	0	18856
"3"	0.0566	0.2079	0.2673	0.5883	0.5883	0.2565	0.2506	0.4175	21.8969	-5.3328	0	8580
"4"	0.0531	0.2306	0.2525	0.4664	0.422	0.3153	0.3153	0.2509	19.6778	-4.7115	0	16186
"5"	0.01	0.0592	0.548	0.4053	0.67	0.1687	0.5947	0.8879	3.6366	-0.0255	0	7977
"6"	0.01	0.2271	0.4507	0.243	0.5384	0.2432	0.5143	0.4714	7.0384	-4.224	0	13029
"7"	0.01	0.3592	0.3748	0.371	0.3754	0.363	0.3634	0.363	25.6983	-9.1346	0	8004
"8"	0.0699	0.1044	0.2843	0.5923	0.5923	0.3033	0.1794	0.4874	24.2056	-2.4918	0	4469
"9"	0.065	0.1198	0.2524	0.4493	0.6603	0.4135	0.3123	0.5466	20.6817	-3.7472	0	6477
"10"	0.0782	0.1911	0.2422	0.4928	0.534	0.4876	0.423	0.4809	27.1932	-4.3227	0	6258
"11"	0.0696	0.0695	0.3064	0.2702	0.5764	0.1691	0.4234	0.413	26.8405	-1.5155	0	12740
"12"	0.1142	0	0.3017	0.2318	0.6256	0.0891	0.4664	0.5292	33.7539	-2.0085	0	25474
"13"	0.01	0.0553	0.5149	0.1995	0.7709	0.2561	0.5309	0.968	9.356	-0.6078	0	3593
"14"	0.0384	0.1986	0.1986	0.6616	0.6616	0.5808	0.2978	0.1163	16.4098	-6.695	0	18609
"15"	0.0644	0.1183	0.3672	0.173	0.6063	0.1917	0.4897	0.6127	20.7084	-6.6695	0	7841
"16"	0.3112	0.4973	0.5206	0.5235	0.4662	0	0	0.2966	59.4983	-9.7392	0	7254
"17"	0.0215	0.229	0.2647	0.5547	0.567	0.4439	0.3427	0.5084	8.8331	-7.251	0	9877
"18"	0.0451	0.0892	0.2968	0.3033	0.6547	0.1683	0.4	0.2926	19.1753	-4.1435	0	8540
"19"	0.0266	0.2645	0.2645	0.5236	0.5786	0.4449	0.4202	0.5051	10.2501	-17.0476	0	10604
"20"	0.0534	0.2952	0.2952	0.5484	0.5242	0.4481	0.3836	0.5085	18.0683	-8.615	0	34293
"21"	0.1046	0	0.2982	0.5919	0.5352	0.4495	0.1099	0.4315	35.8229	-3.891	0	6092
"22"	0.1373	0.2991	0.2991	0.5688	0.332	0.2022	0.3146	0.3764	46.7958	-6.9389	0	9716
"23"	0.054	0.3254	0.3254	0.3966	0.4536	0.4266	0.454	0.4645	20.0485	-8.2235	0	13062
"24"	0.1118	0.3004	0.3004	0.5344	0.5437	0.4364	0.4373	0.2619	39.6391	-11.8775	0	6697
"25"	0.01	0.246	0.246	0.5333	0.491	0.4014	0.3025	0.0598	0.2159	-0.1875	1	130892
"26"	0.04	0.2451	0.2617	0.4991	0.4915	0.4594	0.39	0.4894	16.8012	-7.0676	0	6295
