"sig"	"b1"	"B1"	"b2"	"B2"	"b3"	"B3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.1427	0.464	0.2313	0.7008	0.1587	0.5683	0.5201	5.867	0	0	10699
"2"	0.0683	0.1227	0.2976	0.4647	0.4647	0.4126	0.333	0.2176	27.4581	-2.988	0	8595
"3"	0.047	0.2026	0.3854	0.3793	0.6734	0.2353	0.3752	0.3164	21.7034	-5.2484	0	15302
"4"	0.0525	0.231	0.2207	0.4263	0.4333	0.3137	0.3459	0.2518	19.7016	-4.7877	0	7985
"5"	0.01	0	0.3806	0.5771	0.7333	0.4075	0.4453	0.8909	3.4209	-0.2324	0	16560
"6"	0.01	0.3595	0.2238	0.2719	0.3693	0.2323	0.4069	0.4639	5.9002	-4.8829	0	10190
"7"	0.0199	0.3582	0.3859	0.2493	0.3864	0.358	0.3648	0.3501	25.7737	-8.9813	0	10151
"8"	0.4104	0	0.3601	0.6642	0.9941	0.3358	0.4568	0.8004	49.2775	-8.3292	0	3611
"9"	0.0682	0.1968	0.2386	0.2943	0.6684	0.3009	0.4336	0.5114	20.4151	-2.8556	0	8787
"10"	0.0815	0.2203	0.2149	0.3129	0.4987	0.4078	0.4828	0.4997	27.8076	-4.1216	0	3498
"11"	0.0699	0.26	0.3181	0.3322	0.5428	0.3848	0.3842	0.4485	26.7523	-1.6871	0	5286
"12"	0.1225	0.3274	0.2749	0.5983	0.5983	0.0743	0.4636	0.5366	34.188	-2.4687	0	11966
"13"	0.0581	0.4147	0.3154	0.1021	0.7531	0.4831	0.5639	0.7948	8.6148	-0.5692	0	17206
"14"	0.036	0.1831	0.1798	0.2564	0.6888	0.2769	0.6147	0.0959	16.3276	-6.9086	0	7386
"15"	0.0665	0.1829	0.3159	0.2324	0.5661	0.251	0.4196	0.6495	22.3369	-5.3268	0	7006
"16"	0.3181	0.4283	0.6046	0.482	0.6059	0	0.0809	0.227	59.4193	-9.8177	0	5049
"17"	0.0248	0.2567	0.2305	0.3352	0.5457	0.3453	0.4365	0.5222	9.5718	-5.4702	0	8938
"18"	0.0534	0.2324	0.3001	0.3972	0.5857	0.3013	0.415	0.3365	22.2466	-4.7102	0	8761
"19"	0.01	0.0388	0.2616	0.2459	0.557	0.1109	0.5083	0.4444	6.6387	-91.2763	0	22161
"20"	0.0523	0.2835	0.2789	0.3188	0.5302	0.3901	0.4434	0.516	18.1882	-8.8989	0	5390
"21"	0.1097	0.2986	0.2986	0.265	0.5716	0.4364	0.4364	0.4535	36.1907	-3.9988	0	12652
"22"	0.1387	0.2455	0.2889	0.3499	0.5442	0.3262	0.3612	0.3917	47.0047	-6.5557	0	7720
"23"	0.0541	0.3064	0.3241	0.4028	0.4517	0.2242	0.4451	0.4672	20.208	-8.0054	0	8461
"24"	0.1126	0.3025	0.3025	0.2643	0.5401	0.4333	0.4333	0.2637	39.6465	-11.7324	0	6051
"25"	0.01	0.2843	0.2772	0.3848	0.5859	0.3292	0.5274	-0.0139	1.6758	-1.9943	0	16106
"26"	0.01	0.1887	0.5704	0.2204	0.7502	0.2366	0.7439	0.1837	15.7637	-102.6557	0	21177
"27"	0.0886	0.2574	0.2023	0.2818	0.6324	0.2935	0.4711	0.508	27.792	-3.2101	0	4258
"28"	0.1063	0.3123	0.1707	0.2439	0.6789	0.4112	0.5413	0.6572	21.6725	-10.0599	0	12050
"29"	0.0862	0.117	0.2498	0.5599	0.4271	0.3231	0.3857	0.19	28.247	-3.4805	0	8069
"30"	0.1321	0.1944	0.2192	0.3974	0.3772	0.305	0.4255	0.2845	45.2632	-7.5091	0	4429
"31"	0.0856	0.2096	0.2096	0.5162	0.5162	0.2742	0.3989	0.5269	27.7618	-2.7235	0	11355
"32"	0.0699	0.2575	0.257	0.3451	0.4923	0.346	0.415	0.3476	29.2064	-5.9213	0	3990
"33"	0.0486	0.2021	0.1681	0.3741	0.519	0.2965	0.4238	0.4669	16.9648	-2.8137	0	10291
"34"	0.0387	0.1446	0.6063	0.2466	0.7279	0.2015	0.6953	0.4889	20.006	-17.2687	0	12981
"35"	0.01	0.3198	0.4074	0.4113	0.4176	0.2615	0.4154	0.2364	14.2971	-162.3631	0	22739
"36"	0.0375	0.3243	0.3247	0.3399	0.3411	0.335	0.3354	0.4786	28.8274	-7.5838	0	7458
"37"	0.0166	0.1116	0.0242	0.1069	0.1815	0.0591	0.8271	0.4753	14.4817	-2.7854	0	12531
"38"	0.0821	0.0308	0.106	0.515	0.5902	0.4098	0.3593	0.5717	20.6531	-4.6508	0	7600
"39"	0.01	0.3926	0.4838	0.223	0.4907	0.3844	0.4819	-0.0186	14.4205	-9.3704	0	17015
"40"	0.01	0.2971	0.4045	0.3175	0.4716	0.315	0.4146	0.7623	11.6745	-0.2008	0	7768
"41"	0.01	0.17	0.5557	0.187	0.6459	0.1852	0.6217	0.0759	4.89	-1.8407	0	44426
"42"	0.0784	0.2424	0.1761	0.5451	0.5808	0.2125	0.3984	0.6138	22.0593	-2.8668	0	5010
"43"	0.0103	0.0588	0.4828	0.4738	0.4835	0.4673	0.4408	0.0056	22.9225	-3.9436	0	42903
"44"	0.0453	0.1162	0.356	0.2799	0.6685	0.2305	0.6039	0.0433	19.5472	-5.8055	0	4817
"45"	0.01	0.1095	0	0.1238	0.8893	0.7667	0.8601	0.9225	5.8001	-1.7209	0	10664
"46"	0.0896	0.1205	0.2746	0.4813	0.512	0.3982	0.2869	0.203	32.4032	-3.8008	0	10435
"47"	0.0373	0.264	0.3294	0.2868	0.5044	0.3512	0.3838	0.4648	16.7357	-7.0895	0	6766
"48"	0.0175	0.0975	0.0323	0.2601	0.849	0.1278	0.7315	0.0884	14.5467	-2.7317	0	18584
