"sig"	"b1"	"b2"	"b3"	"u"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0293	0.1794	0.3321	0.2285	0.6539	13.4289	-0.1179	0	884
"2"	0.0776	0.2187	0.4276	0.3537	0.3353	29.5849	-2.5488	0	812
"3"	0.0587	0.2161	0.5383	0.2457	0.4691	22.7412	-4.1001	0	837
"4"	0.0538	0.2305	0.4421	0.3272	0.2665	19.7548	-4.9619	0	1232
"5"	0.01	0.2425	0.478	0.2783	0.9407	6.0872	-0.2319	0	2077
"6"	0.0234	0.2425	0.3033	0.2761	0.52	11.3221	-1.5865	0	738
"7"	0.0386	0.3382	0.3353	0.3265	0.4369	30.3977	-8.5125	0	2176
"8"	0.071	0.2153	0.5183	0.2664	0.5654	25.7959	-1.8887	0	1824
"9"	0.0749	0.1851	0.5003	0.3146	0.679	22.9266	-3.9392	0	1132
"10"	0.0824	0.1875	0.4139	0.3986	0.6016	29.041	-4.6779	0	1196
"11"	0.0789	0.2303	0.4484	0.3213	0.5581	31.4627	-1.9481	0	1150
"12"	0.1205	0.2175	0.4643	0.3183	0.7093	37.8093	-4.2537	0	700
"13"	0.0155	0.1063	0.1866	0.1307	0.9403	10.4758	-0.6915	0	652
"14"	0.0711	0.1847	0.4677	0.3475	0.3303	25.3093	-5.6954	0	2020
"15"	0.0728	0.2592	0.4069	0.3339	0.7664	25.7268	-4.8757	0	1880
"16"	0.3242	0.5031	0.4969	0	0.3119	59.5604	-9.578	0	1455
"17"	0.0359	0.2175	0.4409	0.3416	0.6282	13.6253	-5.24	0	4566
"18"	0.0585	0.2165	0.4834	0.3001	0.4563	23.8652	-6.4895	0	6373
"19"	0.044	0.2073	0.4562	0.3365	0.6417	16.4137	-3.3157	0	1042
"20"	0.0597	0.2278	0.4236	0.3486	0.6395	21.8808	-3.3283	0	2433
"21"	0.1186	0.2108	0.4508	0.3383	0.5938	40.969	-6.3185	0	1048
"22"	0.1383	0.234	0.4616	0.3044	0.486	47.8038	-7.0409	0	1014
"23"	0.0602	0.2727	0.3655	0.3618	0.5713	22.7719	-4.4462	0	1780
"24"	0.1342	0.2105	0.444	0.3454	0.422	46.0847	-8.9865	0	2706
"25"	0.01	0.219	0.4431	0.3337	0.115	0.07	-0.9995	0	4591
"26"	0.0493	0.2179	0.4067	0.3753	0.5994	19.6155	-2.9207	0	1922
"27"	0.0991	0.1939	0.4694	0.3367	0.6871	31.332	-4.4821	0	1262
"28"	0.0937	0.2	0.4463	0.3537	0.835	23.3487	-10.6651	0	1692
"29"	0.1089	0.1546	0.5291	0.3163	0.2867	32.5292	-3.9021	0	830
"30"	0.1427	0.2297	0.4163	0.354	0.333	45.7537	-7.5794	0	950
"31"	0.0828	0.1782	0.4679	0.3539	0.5841	28.4473	-3.0827	0	2120
"32"	0.0756	0.2359	0.4218	0.3423	0.4343	30.8192	-7.1676	0	1902
"33"	0.0545	0.1782	0.4526	0.3692	0.5519	19.3579	-3.1537	0	1631
"34"	0.0397	0.1301	0.2388	0.2112	0.6104	20.8951	-28.8297	0	1466
"35"	0.0362	0.3049	0.3699	0.3252	0.4103	20.6531	-9.0104	0	1076
"36"	0.0417	0.3235	0.3413	0.3352	0.4826	28.8308	-7.5802	0	2282
"37"	0.0472	0.095	0.2751	0.2169	0.6761	19.7244	-1.7869	0	2022
"38"	0.0823	0.0744	0.5425	0.3803	0.5971	21.3919	-4.3165	0	1907
"39"	0.01	0.3154	0.317	0.3094	0.0119	15.3971	-6.6389	0	1942
"40"	0.01	0.3115	0.3598	0.3226	0.8585	13.431	-0.4032	0	1880
"41"	0.01	0.3073	0.3512	0.3415	0.2127	5.7392	-1.2115	0	3136
"42"	0.0734	0.1941	0.4889	0.3169	0.706	22.9516	-4.4672	0	1394
"43"	0.0125	0.3341	0.3398	0.3261	0.4488	27.0132	-6.9764	0	1310
"44"	0.0571	0.1454	0.3868	0.3112	0.1063	19.9277	-5.806	0	706
"45"	0.01	0.0887	0.2277	0.1884	0.8544	4.8092	-0.0327	0	2770
"46"	0.101	0.1863	0.4629	0.3508	0.309	34.1102	-2.9994	0	1584
"47"	0.0513	0.2584	0.4084	0.3333	0.5625	21.7477	-5.855	0	2614
"48"	0.0692	0.1126	0.5377	0.3497	0.4547	19.7294	-3.3101	0	2535
