"sig"	"w1"	"w2"	"w3"	"w12"	"w13"	"w23"	"l"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2142	0.3003	0.2252	0.4429	0.3387	0.5016	1.8542	4.1172	0	0	8996
"2"	0.0864	0.1968	0.3801	0.3304	0.772	0.611	0.9437	0.4325	22.5851	-3.2564	0	3012
"3"	0.0896	0.288	0.7814	0.3622	0.945	0.7615	0.9455	2.6535	13.9442	-3.0768	0	5035
"4"	0.0502	0.5124	0.7254	0.6258	0.8786	0.7988	0.9197	1.0344	12.6593	-2.4021	0	18139
"5"	0.0646	0	0.1566	0.0818	0.2778	0.2066	0.3284	4	6.3314	-0.3945	0	7517
"6"	0.01	0.3661	0.3722	0.3696	0.6186	0.5883	0.683	1.4344	6.7331	-12.9088	0	3320
"7"	0.0164	0.1582	0.1502	0.1564	0.6289	0.6147	0.6239	0.2255	23.4756	-7.2309	0	4435
"8"	0.1356	0.2222	0.5959	0.3022	0.8619	0.6359	0.8992	2.0634	19.1331	-2.4317	0	2890
"9"	0.1326	0.3839	0.6221	0.4923	0.855	0.6628	0.9441	4	12.7424	-1.5063	0	7523
"10"	0.1698	0.1716	0.3613	0.409	0.6376	0.5719	0.8354	1.4024	26.4153	-5.2299	0	1994
"11"	0.1432	0.1847	0.4544	0.3185	0.7992	0.6668	0.8709	1.7237	22.3869	-1.412	0	3011
"12"	0.3457	0	0.3059	0.1868	0.7496	0.5368	0.844	2.2817	30.4401	-2.4493	0	5012
"13"	0.281	0	0.1825	0.1003	0.571	0.3552	0.6839	4	10.2939	-1.1497	0	7384
"14"	0.0529	0.0985	0.3513	0.2115	0.5793	0.5171	0.9424	0.2688	15.5031	-7.0981	0	4577
"15"	0.2292	0.4069	0.4388	0.4766	0.7555	0.662	0.826	4	20.7605	-5.7913	0	6187
"16"	0.4679	0.5935	0.5845	0.0585	0.9999	0.5935	0.5845	0.6266	59.713	-9.5078	0	6263
"17"	0.0579	0.1813	0.372	0.3067	0.6809	0.5467	0.8099	1.5396	8.1033	-4.9494	0	5880
"18"	0.066	0.2986	0.591	0.4195	0.8726	0.6784	0.9257	1.5022	12.7522	-6.6019	0	7053
"19"	0.0379	0.068	0.3293	0.1288	0.5723	0.4813	0.7589	1.1356	8.4975	-30.9955	0	9269
"20"	0.1143	0.0933	0.314	0.2291	0.6101	0.5185	0.7433	1.2649	18.7229	-6.9987	0	2834
"21"	0.2464	0.0265	0.4121	0.2005	0.742	0.6493	0.8836	1.6788	32.0809	-3.7986	0	2088
"22"	0.2549	0.2137	0.4337	0.3235	0.8191	0.6014	0.8687	1.0325	44.4086	-6.0281	0	2899
"23"	0.1091	0.2192	0.3205	0.2787	0.6414	0.649	0.7604	1.2561	19.6495	-7.7261	0	3591
"24"	0.2059	0.0612	0.4613	0.3025	0.8223	0.7602	0.9491	0.896	34.2454	-12.9677	0	4317
"25"	0.01	0.4306	0.7757	0.6393	0.8915	0.8615	0.9487	0.5197	0.1878	-12.1073	0	6211
"26"	0.0702	0.1273	0.278	0.2685	0.5456	0.4996	0.744	0.9462	16.7436	-7.3519	0	7683
"27"	0.2336	0.1698	0.4327	0.1986	0.6598	0.5532	0.8621	1.9558	27.044	-2.4253	0	8173
