"sig"	"w1"	"w2"	"w3"	"w12"	"w13"	"w23"	"u"	"l"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.3592	0.4327	0.3674	0.5321	0.4506	0.5521	0.5622	1.4564	6.116	-0.0015	0	23412
"2"	0.0669	0.1968	0.38	0.3304	0.772	0.6109	0.9437	0.3033	0.1088	22.5851	-3.2576	0	8188
"3"	0.0395	0.2882	0.7811	0.3625	0.945	0.7611	0.9454	0.6035	0.6075	13.9441	-3.0826	0	7171
"4"	0.0437	0.5126	0.7255	0.6259	0.8787	0.7989	0.9198	0.2177	0.7688	12.6593	-2.4027	0	5724
"5"	0.01	0	0.5242	0.2653	0.6042	0.5504	0.6216	0.926	1.5065	4.289	-0.0433	0	15148
"6"	0.01	0.3291	0.3395	0.335	0.5935	0.5496	0.6463	0.45	0.4224	6.7133	-9.445	0	5864
"7"	0.027	0.211	0.194	0.2072	0.6887	0.6595	0.6768	0.3337	0	23.4953	-7.4932	0	11712
"8"	0.1199	0.2222	0.5958	0.3022	0.8619	0.6359	0.8992	0.2043	1.7082	19.1331	-2.4316	0	4712
"9"	0.01	0.8107	0.8793	0.8446	0.9686	0.8816	0.9963	0.8355	3.831	11.1048	-1.9401	0	23562
"10"	0.1383	0.1715	0.3612	0.4088	0.6375	0.5718	0.8353	0.267	0.9562	26.4153	-5.2281	0	4482
"11"	0.1169	0.1846	0.4542	0.3183	0.799	0.6666	0.8708	0.2648	1.2238	22.3869	-1.4117	0	4672
"12"	0.2476	0	0.3049	0.1861	0.7481	0.5354	0.8426	0.348	1.3586	30.4394	-2.4316	0	6484
"13"	0.01	0	0.1614	0.138	0.9576	0.3013	0.9684	0.9871	0.4261	9.4972	-0.9864	0	3951
"14"	0.0624	0.0984	0.3512	0.2115	0.5791	0.517	0.9422	-0.0616	0.4965	15.5031	-7.1007	0	8424
"15"	0.0483	0.4186	0.4506	0.4872	0.7635	0.6729	0.832	0.8138	0.0771	20.7572	-5.7664	0	9792
"16"	0.5392	0.6108	0.6031	0.0731	1	0.6108	0.6031	-0.0136	0.8912	59.7994	-9.5007	0	9533
"17"	0.0691	0.1813	0.372	0.3067	0.6809	0.5466	0.8099	-0.0735	2.029	8.1033	-4.9494	0	6176
"18"	0.0713	0.2988	0.5911	0.4196	0.8726	0.6784	0.9257	0.0276	1.7039	12.7522	-6.6085	0	4004
"19"	0.0437	0.0681	0.3293	0.1289	0.5724	0.4814	0.7589	-0.0388	1.4654	8.4975	-30.9825	0	6152
"20"	0.1398	0.0935	0.3143	0.2295	0.6105	0.5188	0.7436	-0.1	1.7706	18.7229	-6.9881	0	14654
"21"	0.1697	0.0264	0.4121	0.2004	0.742	0.6494	0.8836	0.3801	0.8454	32.0809	-3.7988	0	4288
"22"	0.2858	0.214	0.4339	0.3237	0.8192	0.6016	0.8688	-0.009	1.2794	44.4086	-6.0268	0	996
"23"	0.1855	0.33	0.4064	0.3784	0.8073	0.813	0.8761	-0.1	3.93	20.8434	-6.1653	0	5823
"24"	0.2515	0.0611	0.4613	0.3025	0.8224	0.7603	0.9491	-0.0993	1.3159	34.2454	-12.9693	0	5334
"25"	0.01	0.573	0.8298	0.7277	0.9199	0.8952	0.9624	-0.1	0.8431	0.2564	-8.7312	0	33287
"26"	0.0851	0.1273	0.278	0.2685	0.5456	0.4995	0.744	-0.0921	1.3616	16.7436	-7.3539	0	23440
"27"	0.2623	0.1699	0.4326	0.1986	0.6597	0.5531	0.862	-0.0107	2.3187	27.044	-2.4265	0	2170
"28"	0.2554	0	0.4377	0.1386	0.7557	0.6728	0.8876	0.6527	2.3486	20.4427	-13.1441	0	4578
"29"	0.1609	0.1353	0.776	0.4472	0.8755	0.796	1	-0.0276	1.1528	23.7656	-3.4767	0	6543
"30"	0.2721	0.4306	0.7068	0.6321	0.8466	0.8222	0.8738	-0.0831	1.8572	40.3523	-8.1985	0	5742
"31"	0.1609	0.1268	0.5101	0.4043	0.7566	0.6365	0.9026	0.2475	1.4065	24.7597	-2.2035	0	2792
"32"	0.0648	0.3463	0.5581	0.508	0.8649	0.7925	0.9544	0.3179	0.9049	16.4992	-3.8456	0	3690
"33"	0.0497	0.389	0.608	0.4957	0.7131	0.6677	0.9192	0.5158	0.5869	15.4216	-1.962	0	5691
"34"	0.0566	0.0479	0.112	0.0984	0.2424	0.2016	0.3291	-0.0426	1.084	19.175	-31.3358	0	3766
"35"	0.01	0.2952	0.3283	0.3007	0.6451	0.6441	0.6512	0.1316	0.6123	14.6949	-14.4943	0	29634
"36"	0.01	0.5345	0.5333	0.537	0.8275	0.8234	0.8276	-0.1	2.2524	14.8851	-22.9899	0	9508
"37"	0.1058	0.1277	0.2333	0.216	0.355	0.2672	0.5207	-0.0496	2.034	16.2162	-2.7905	0	4588
"38"	0.1566	0.0351	0.5834	0.477	0.6967	0.5161	0.9397	0.2882	1.3531	20.3801	-4.8633	0	3722
