"sig"	"p1"	"p2"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2443	0.4761	3.9997	0.3142	6.0718	0	0	1459
"2"	0.0996	0.2339	0.4122	0.5325	1.3697	25.8564	-2.4096	0	632
"3"	0.1025	0.2313	0.5061	1.1071	1.4663	18.6973	-2.757	0	354
"4"	0.0553	0.2188	0.4542	0.3419	0.8108	17.4376	-3.3464	0	536
"5"	0.1213	0.2138	0.4542	4	1.0264	7.931	-0.1184	0	1278
"6"	0.01	0.3242	0.342	1.2475	0.7101	10.677	-1.6861	0	824
"7"	0.0591	0.337	0.3338	0.7633	1.2615	24.6998	-5.9631	0	456
"8"	0.1338	0.2338	0.4833	1.7729	1.5468	19.4178	-2.5384	0	378
"9"	0.2267	0.2072	0.4755	3.4495	1.6202	17.8601	-2.0872	0	1074
"10"	0.1963	0.1926	0.4109	1.6075	1.1692	28.3572	-4.5878	0	544
"11"	0.1438	0.2463	0.4269	1.7842	1.59	22.5296	-1.4676	0	642
"12"	0.4054	0.2329	0.4411	3.4408	1.653	32.5883	-2.7469	0	534
"13"	0.2504	0.227	0.4475	4	1.0503	14.7936	-0.9572	0	2318
"14"	0.0894	0.2058	0.4443	0.5451	1.4709	20.1711	-3.3498	0	292
"15"	0.2852	0.2603	0.406	3.3385	1.0188	25.6973	-4.9232	0	668
"16"	0.4272	0.5073	0.4927	0.4469	0.9913	59.5664	-9.5512	0	3327
"17"	0.0744	0.2286	0.4323	1.9861	1.2891	9.5409	-2.5684	0	394
"18"	0.0823	0.2306	0.4579	1.0525	1.4267	17.1588	-3.66	0	518
"19"	0.1086	0.2124	0.4511	1.904	1.157	15.4472	-4.2533	0	392
"20"	0.1499	0.2366	0.4172	1.9886	1.2438	20.233	-4.6629	0	296
"21"	0.2833	0.2234	0.4302	2.1814	1.8008	33.2296	-4.3184	0	376
"22"	0.2704	0.2468	0.4407	1.1153	1.4011	45.76	-5.8455	0	372
"23"	0.1311	0.2801	0.362	1.6358	1.2883	20.5293	-5.6899	0	594
"24"	0.2146	0.2227	0.4206	1.0066	2.2748	34.4615	-12.3183	0	368
"25"	0.01	0.2405	0.4232	0.1125	1.254	0.1406	-0.0352	0	4150
"26"	0.113	0.2211	0.4051	1.5483	1.0994	19.2359	-3.3364	0	376
"27"	0.3041	0.2088	0.4559	2.5302	1.254	30.216	-3.5356	0	518
"28"	0.3794	0.2179	0.4355	4	1.2781	22.4061	-12.09	0	1039
"29"	0.1416	0.1803	0.4815	0.4883	2.0122	26.1695	-2.5147	0	362
"30"	0.1863	0.2259	0.4208	0.4781	0.913	45.4779	-7.9984	0	424
"31"	0.1863	0.1864	0.452	1.6984	1.4271	25.0395	-2.1794	0	830
"32"	0.0981	0.2423	0.408	0.9203	1.5037	21.9359	-2.9129	0	330
"33"	0.1076	0.1746	0.456	1.2034	0.9485	19.2184	-3.006	0	446
"34"	0.1632	0.2318	0.4069	2.1519	0.7255	22.7099	-7.9715	0	276
"35"	0.0631	0.3019	0.3723	0.6821	1.0876	20.2994	-8.9736	0	380
"36"	0.01	0.3317	0.3346	0.8443	1.0206	24.5361	-7.8953	0	1632
"37"	0.1672	0.16	0.4761	2.858	0.5195	18.3814	-2.1711	0	406
"38"	0.1895	0.0778	0.5358	1.5621	1.0884	21.3125	-4.6641	0	512
"39"	0.01	0.3347	0.336	0.0282	1.2653	15.3969	-6.6204	0	780
"40"	0.0785	0.3045	0.373	4	1.2259	12.8744	-0.3131	0	1291
"41"	0.01	0.2976	0.3579	0.2473	0.6383	5.3857	-1.2043	0	1808
"42"	0.1982	0.2132	0.4674	4	1.7194	15.3373	-1.0975	0	889
"43"	0.01	0.3334	0.3378	0.8718	1.2567	11.9144	-2.3744	0	760
"44"	0.0672	0.1687	0.4602	0.1641	0.8885	19.9438	-5.6496	0	610
"45"	0.0876	0.1985	0.4493	4	0.9829	6.366	-0.008	0	1138
"46"	0.1384	0.203	0.4437	0.4997	1.3747	32.0869	-2.7058	0	410
"47"	0.0882	0.267	0.4013	1.5914	1.3308	16.5303	-3.8821	0	708
"48"	0.1159	0.1121	0.5385	0.8333	0.9972	19.8626	-3.3516	0	400
