"sig"	"p1"	"p2"	"l"	"a"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2424	0.4525	1.4701	0.5609	0.1209	6.4777	-3e-04	0	3033
"2"	0.0931	0.2309	0.4138	0.4601	1.3636	1.0673	25.3295	-2.4728	0	707
"3"	0.1	0.2277	0.5106	2.6055	1.5766	3.3744	14.6671	-2.8708	0	980
"4"	0.0494	0.2302	0.4462	1.1387	0.9884	3.8028	12.9126	-2.9898	0	1926
"5"	0.1349	0.2227	0.4542	4	1.1523	0.7806	6.8352	-0.2352	0	3315
"6"	0.01	0.3002	0.364	0.2231	1.3132	0.1302	7.9944	-1.7943	0	4020
"7"	0.01	0.334	0.3335	0.7187	1.0681	0.957	24.5967	-5.9449	0	2414
"8"	0.1364	0.2319	0.4852	2.1228	1.4455	1.6515	19.1453	-2.3981	0	991
"9"	0.1889	0.2045	0.4772	4	1.3474	1.966	16.2846	-1.9579	0	1896
"10"	0.165	0.1956	0.4116	1.1773	1.2183	0.7955	27.9844	-3.9381	0	1723
"11"	0.1426	0.245	0.4276	1.7589	1.5101	1.3371	22.5316	-1.3868	0	1121
"12"	0.3268	0.2385	0.4366	2.198	1.8229	0.7625	31.5869	-2.0864	0	573
"13"	0.2748	0.2462	0.4357	4	1.5487	0.4473	11.2793	-0.9653	0	3858
"14"	0.0716	0.1972	0.443	0.3468	1.5108	0.8281	18.256	-3.6511	0	809
"15"	0.2857	0.2624	0.4039	3.2143	1.0872	0.9637	25.6622	-5.0177	0	3172
"16"	0.4286	0.5021	0.4979	0.4496	1.4415	1.0283	59.5584	-9.5834	0	1074
"17"	0.0649	0.2289	0.4323	1.6196	1.2834	0.932	8.8707	-3.1176	0	785
"18"	0.0811	0.2285	0.4603	1.3997	1.3677	1.6912	15.797	-4.5908	0	651
"19"	0.0681	0.2165	0.4459	1.0681	1.2283	0.5758	13.0631	-7.4009	0	1077
"20"	0.1124	0.2378	0.4174	1.2711	1.2705	0.7031	19.2782	-6.8519	0	867
"21"	0.2662	0.2207	0.4308	1.808	1.7364	1.2005	33.2957	-4.2162	0	919
"22"	0.2538	0.2443	0.4418	0.9451	1.4339	1.0273	45.4056	-5.6595	0	611
"23"	0.1132	0.2765	0.3643	1.236	1.2703	0.8783	20.1493	-6.829	0	2214
"24"	0.2118	0.2061	0.4278	0.9011	2.2932	1.6785	34.4851	-13.0617	0	645
"25"	0.01	0.2112	0.4505	0.1462	0.986	1.1658	0.0428	-2.6661	0	2686
"26"	0.071	0.2208	0.4037	0.944	1.2021	0.639	17.0143	-7.3467	0	1841
"27"	0.2363	0.2054	0.453	1.5368	1.4115	0.6377	29.1991	-3.266	0	545
"28"	0.4417	0.2258	0.4262	4	1.573	0.755	21.188	-12.1914	0	1598
"29"	0.1527	0.1736	0.4885	0.8697	2.0866	3.3577	25.287	-3.0734	0	2040
"30"	0.2445	0.2188	0.4225	1.4865	1.0758	3.5498	41.4936	-8.2129	0	1452
"31"	0.1899	0.1839	0.4534	1.8245	1.3535	1.3754	25.042	-2.1814	0	1755
"32"	0.0953	0.2423	0.4051	1.4762	1.4297	2.239	19.1037	-3.1247	0	1255
"33"	0.1043	0.1771	0.4533	1.0996	0.9927	0.9033	19.292	-3.1897	0	1221
"34"	0.0585	0.2378	0.4092	0.7612	0.9705	0.2294	19.541	-10.8242	0	1876
"35"	0.01	0.328	0.3396	0.6792	1.0375	0.8991	18.3759	-16.3973	0	2231
"36"	0.01	0.3319	0.3348	1.1091	1.0069	1.3375	16.5672	-11.7717	0	1426
"37"	0.0132	0.1805	0.4674	1.5312	0.4978	0.037	17.2439	-2.0936	0	3102
"38"	0.1983	0.0717	0.5377	1.9559	1.0405	1.3793	21.1534	-4.8727	0	1383
"39"	0.01	0.3349	0.3359	0.0413	1.1564	1.4014	15.4019	-6.5851	0	1538
"40"	0.0705	0.3066	0.3709	4	1.1767	1.0222	12.7997	-0.3101	0	1998
"41"	0.01	0.298	0.3572	0.204	0.727	0.6901	5.408	-1.2393	0	4054
"42"	0.1964	0.2126	0.4682	4	1.6175	1.4167	15.1825	-1.1439	0	2534
"43"	0.01	0.3335	0.3382	0.5918	1.3115	0.9256	11.942	-2.5256	0	962
"44"	0.0574	0.1665	0.4621	0.1063	0.8383	0.711	19.7698	-5.8582	0	1634
"45"	0.093	0.1879	0.4483	4	1.0421	0.7093	5.2022	-0.0185	0	4761
"46"	0.1399	0.1997	0.4446	0.5098	1.367	1.2645	31.9462	-2.7282	0	670
"47"	0.0828	0.2656	0.403	1.439	1.3024	1.0699	16.223	-3.9353	0	2001
"48"	0.0482	0.1071	0.5208	0.226	1.4429	0.3181	16.2947	-2.9935	0	1630
