"sig"	"p1"	"p2"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.1111	0.2462	0.4556	4	0.3032	13.8766	-0.373	0	713
"2"	0.0893	0.2327	0.416	0.3575	-0.1081	28.221	-2.4497	0	550
"3"	0.099	0.2172	0.5362	0.8474	-0.0112	22.7286	-3.9787	0	578
"4"	0.0561	0.2156	0.4568	0.5539	0.1794	14.6911	-2.0471	0	684
"5"	0.1448	0.2243	0.4556	4	-0.203	6.5155	-0.3771	0	1530
"6"	0.0868	0.292	0.3729	2.1667	0.1882	14.2077	-2.2023	0	292
"7"	0.01	0.3339	0.3334	0.5575	-0.0997	27.5595	-5.8155	0	742
"8"	0.1316	0.2233	0.5042	1.0338	-0.1173	24.9029	-1.8683	0	326
"9"	0.2182	0.178	0.5091	2.6674	0.138	22.4744	-4.539	0	382
"10"	0.168	0.1942	0.411	1.2119	-0.1052	28.5608	-4.0387	0	248
"11"	0.1191	0.2396	0.4326	0.8233	-0.2031	27.7299	-1.7044	0	220
"12"	0.2589	0.2295	0.4467	1.3624	-0.3018	34.5851	-2.6301	0	304
"13"	0.2745	0.2405	0.4382	4	-0.3463	11.0144	-0.9652	0	1389
"14"	0.0677	0.2116	0.443	0.302	-0.1725	20.4242	-4.3807	0	476
"15"	0.2771	0.2546	0.4117	4	0.1629	24.9474	-4.857	0	2089
"16"	0.4231	0.4955	0.5045	0.45	0.0146	59.578	-9.6171	0	3502
"17"	0.0742	0.2235	0.4357	1.3066	-0.1256	11.8267	-4.1011	0	358
"18"	0.0907	0.222	0.474	0.7024	-0.0717	23.217	-5.1532	0	672
"19"	0.0768	0.2166	0.4446	1.1857	-0.2037	12.2808	-4.8254	0	394
"20"	0.1095	0.234	0.4192	1.1661	-0.2013	18.8757	-6.8422	0	336
"21"	0.1762	0.2255	0.4383	0.7901	-0.3164	36.1712	-3.9659	0	588
"22"	0.2214	0.2391	0.4526	0.7279	-0.1146	47.2198	-6.5494	0	384
"23"	0.1029	0.2746	0.3664	0.9653	-0.1504	20.9686	-6.3207	0	404
"24"	0.1378	0.237	0.4233	0.3454	-0.2755	39.6464	-11.7107	0	518
"25"	0.01	0.2229	0.4436	0.122	0.0019	0.0617	-1.1134	0	1796
"26"	0.0877	0.2218	0.4037	1.1259	-0.1202	18.067	-4.5339	0	340
"27"	0.1962	0.1811	0.4634	1.0318	-0.4509	29.4527	-3.5536	0	410
"28"	0.3134	0.1985	0.444	2.2944	-0.4116	22.2055	-10.37	0	402
"29"	0.1053	0.1875	0.4937	0.2251	-0.1659	29.5757	-2.6139	0	606
"30"	0.2063	0.2156	0.4295	0.7011	0.1646	44.4534	-8.8958	0	644
"31"	0.1629	0.1855	0.4598	1.113	-0.1135	27.7538	-2.7288	0	208
"32"	0.1078	0.2405	0.4167	0.6161	-0.083	30.0343	-5.6971	0	562
"33"	0.1118	0.1627	0.4643	1.6181	0.1527	18.1202	-2.2773	0	528
"34"	0.197	0.2396	0.4012	1.9171	-0.0512	24.7581	-4.8163	0	474
"35"	0.0121	0.3257	0.3427	0.0944	-0.3464	17.6396	-381.0347	0	2400
"36"	0.0186	0.3312	0.3357	1.1048	0.0967	26.7743	-19.111	0	356
"37"	0.305	0.1769	0.4596	3.8424	0.1794	23.704	-3.1062	0	1070
"38"	0.1838	0.0763	0.5424	1.4452	-0.0087	21.39	-4.3762	0	336
"39"	0.01	0.3346	0.336	0	-0.2854	15.3821	-6.6322	0	1154
"40"	0.0643	0.3076	0.3698	4	-0.07	12.8013	-0.3083	0	2003
"41"	0.01	0.3154	0.3479	0.6648	0.2363	5.7497	-1.281	0	1428
"42"	0.211	0.1982	0.4834	1.9617	-0.1149	22.6471	-3.5198	0	320
"43"	0.01	0.3336	0.3367	0.6735	-0.0524	23.7927	-3.096	0	710
"44"	0.0716	0.171	0.4577	0.1823	0.0375	20.1343	-5.3475	0	536
"45"	0.1021	0.1942	0.4471	4	-0.0998	5.3414	-0.0217	0	1931
"46"	0.1181	0.2	0.4516	0.338	-0.0924	33.2639	-2.7479	0	682
"47"	0.0812	0.26	0.4072	0.9704	-0.1354	18.9785	-4.964	0	414
"48"	0.1115	0.1183	0.5319	0.765	-0.0339	19.6399	-2.9668	0	316
