"sig"	"p1"	"p2"	"l"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0709	0.2424	0.4488	1.8606	0.3123	13.4289	-0.1179	0	236
"2"	0.1093	0.2298	0.4165	0.7315	-0.2435	24.3987	-2.1725	0	332
"3"	0.1059	0.229	0.5171	1.1363	-0.1442	19.4417	-3.5816	0	586
"4"	0.066	0.2305	0.4422	0.3497	2e-04	19.7548	-4.9604	0	462
"5"	0.1048	0.213	0.4549	4	0.1475	7.6752	-0.1073	0	1451
"6"	0.0438	0.295	0.3691	1.0626	0.1781	11.3221	-1.5865	0	360
"7"	0.0672	0.3375	0.3349	0.9399	-0.1359	25.1323	-6.5545	0	274
"8"	0.1347	0.2343	0.4874	1.8392	-0.1725	20.1675	-2.2063	0	486
"9"	0.1696	0.2239	0.4727	3.7993	-0.2115	14.753	-1.6679	0	1344
"10"	0.1972	0.1964	0.4098	1.656	-0.0687	28.4387	-4.6959	0	1186
"11"	0.158	0.2537	0.4255	2.0377	-0.2101	24.6441	-1.2316	0	446
"12"	0.4276	0.2456	0.4383	3.8087	-0.1976	34.005	-3.1	0	512
"13"	0.2039	0.2232	0.4501	4	0.2132	14.3697	-0.8154	0	625
"14"	0.1042	0.1965	0.453	0.6728	-0.2007	22.4178	-4.0422	0	360
"15"	0.2931	0.2731	0.3951	4	-0.1151	24.9369	-5.4132	0	881
"16"	0.4287	0.503	0.497	0.4497	-0.0141	59.5584	-9.5836	0	1190
"17"	0.0764	0.2339	0.43	2.1592	-0.1168	10.1693	-3.4211	0	320
"18"	0.0699	0.2367	0.4603	1.2962	-0.2113	13.8123	-5.6506	0	480
"19"	0.1105	0.2103	0.4542	1.8424	-0.0256	16.2676	-3.7207	0	722
"20"	0.1555	0.2366	0.418	1.9928	-0.0659	21.3248	-3.7631	0	374
"21"	0.3015	0.2366	0.4236	2.3367	-0.2177	36.3937	-5.3508	0	410
"22"	0.2818	0.2514	0.4401	1.3666	-0.2028	45.377	-5.6869	0	406
"23"	0.1398	0.2835	0.3591	1.9067	-0.1409	20.9302	-5.279	0	450
"24"	0.2764	0.1922	0.429	1.7593	-0.4689	39.2863	-9.4979	0	404
"25"	0.01	0.3003	0.3586	1.1039	-1.7003	13.5427	-2.7747	0	1471
"26"	0.1141	0.2217	0.405	1.5718	-0.0365	19.3622	-3.1669	0	290
"27"	0.3056	0.2131	0.4532	2.701	-0.1126	29.9171	-3.2915	0	464
"28"	0.3731	0.2189	0.4361	4	-0.0841	22.7727	-11.7309	0	1291
"29"	0.1735	0.1557	0.5036	0.7472	-0.3624	29.8713	-2.9957	0	268
"30"	0.1973	0.2308	0.4152	0.5051	-0.0213	45.7417	-7.5174	0	266
"31"	0.1845	0.1968	0.4521	1.7461	-0.1335	25.8873	-2.1996	0	428
"32"	0.0887	0.249	0.4041	1.2511	-0.2703	17.4401	-3.547	0	602
"33"	0.1129	0.1827	0.4491	1.2988	-0.0378	19.0984	-3.1412	0	360
"34"	0.0108	0.2242	0.4116	1.5412	0.9315	20.8951	-Inf	0	706
"35"	0.0558	0.3049	0.3697	0.6859	-0.0059	20.645	-8.9792	0	744
"36"	0.01	0.3316	0.3345	0.9093	-0.039	23.9304	-8.6237	0	1342
"37"	0.1333	0.1618	0.4687	2.0568	0.4032	19.7244	-1.7871	0	246
"38"	0.1839	0.0746	0.544	1.457	0.0028	21.3919	-4.316	0	368
"39"	0.01	0.3348	0.3369	0.0109	0.0195	15.4102	-6.616	0	1404
"40"	0.0648	0.3034	0.3739	4	0.1717	13.4881	-0.3646	0	741
"41"	0.01	0.3214	0.3426	0.5098	-0.3287	5.6132	-0.9759	0	2936
"42"	0.1867	0.2277	0.4646	4	-0.2012	15.415	-1.8016	0	817
"43"	0.0129	0.3331	0.3372	1.6304	-0.423	11.619	-1.8528	0	818
"44"	0.0575	0.1724	0.4586	0.1077	0.1567	19.9277	-5.8068	0	1228
"45"	0.0674	0.1954	0.4503	4	0.2568	5.951	-0.0086	0	1524
"46"	0.1677	0.1934	0.4472	0.7203	-0.3006	32.3173	-3.1431	0	494
"47"	0.1009	0.2738	0.3964	1.9718	-0.1704	17.2784	-3.9811	0	650
"48"	0.1212	0.12	0.5279	0.898	-0.0566	19.4771	-3.0578	0	230
