"sig"	"p1"	"p2"	"l"	"a"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0114	0.2396	0.4638	3.3242	0.0375	0.8684	11.6794	-0.1573	0	2715
"2"	0.1025	0.2341	0.4132	0.6129	-0.0726	-0.2483	23.9793	-2.3517	0	737
"3"	0.1061	0.2286	0.5177	1.1499	0.0067	-0.1436	19.4388	-3.6032	0	1073
"4"	0.0562	0.2243	0.4513	0.7119	0.2296	-0.0746	13.9273	-1.5676	0	1483
"5"	0.1392	0.2243	0.4556	4	-0.1945	0.04	6.5146	-0.3763	0	2728
"6"	0.0314	0.3073	0.3579	1.3336	0.0931	0.1402	11.2848	-1.6835	0	786
"7"	0.01	0.334	0.3335	0.7527	-0.027	-0.0206	24.5946	-5.9452	0	1883
"8"	0.1304	0.2368	0.4839	1.6108	-0.0805	-0.1786	19.8768	-2.4507	0	823
"9"	0.1389	0.2139	0.4773	4	0.1674	-0.158	13.3967	-1.2798	0	2607
"10"	0.1812	0.1991	0.4087	1.3757	-0.0938	-0.0647	28.1207	-4.2465	0	763
"11"	0.1341	0.2543	0.4223	1.4592	-0.1741	-0.2169	22.7868	-1.2538	0	1031
"12"	0.3289	0.2486	0.431	2.1291	-0.4186	-0.2655	31.0549	-2.0655	0	1496
"13"	0.1839	0.2402	0.4384	4	-0.2305	0.3334	11.0094	-0.9551	0	1638
"14"	0.08	0.2143	0.4372	0.4344	-0.1856	-0.2094	18.4793	-3.2639	0	884
"15"	0.2751	0.2636	0.4041	4	0.1136	-0.0641	24.5778	-5.2013	0	1586
"16"	0.428	0.5034	0.4966	0.4656	0.016	-0.0137	59.5516	-9.5487	0	1481
"17"	0.0667	0.2356	0.4291	1.7867	-0.1025	-0.1198	8.8876	-2.9229	0	810
"18"	0.0695	0.2365	0.4612	1.3463	0.0185	-0.2098	13.7838	-6.2306	0	2528
"19"	0.0766	0.2165	0.4446	1.1815	-0.2038	0.0016	12.2804	-4.7939	0	1247
"20"	0.1144	0.2372	0.4174	1.2739	-0.2	-0.0391	18.7286	-7.0611	0	451
"21"	0.2317	0.2392	0.4243	1.312	-0.3409	-0.2394	33.1122	-3.8789	0	683
"22"	0.2692	0.2525	0.4374	1.1349	-0.1033	-0.2171	45.0833	-5.5182	0	333
"23"	0.1209	0.2812	0.3616	1.4092	-0.1197	-0.1195	20.21	-6.3991	0	580
"24"	0.2084	0.2295	0.4168	0.7613	-0.3555	-0.5	35.2584	-13.8091	0	1358
"25"	0.01	0.2244	0.4415	0.1346	-0.0044	-0.054	0.0669	-0.3373	0	10470
"26"	0.0899	0.2228	0.4033	1.1669	-0.1182	-0.0163	18.0219	-4.6363	0	562
"27"	0.2267	0.1917	0.4573	1.2362	-0.4684	-0.0864	29.1776	-3.1347	0	583
"28"	0.4793	0.2329	0.4231	4	-0.4227	-0.207	20.873	-11.7469	0	2743
"29"	0.142	0.1856	0.4832	0.4212	-0.2078	-0.3651	27.5742	-2.347	0	1062
"30"	0.218	0.22	0.4253	0.8015	0.1833	-0.0486	44.3507	-8.6984	0	843
"31"	0.174	0.1997	0.448	1.4589	-0.1086	-0.1431	25.3804	-2.0446	0	953
"32"	0.0898	0.249	0.4041	1.3139	0.0231	-0.2677	17.3942	-3.8023	0	1005
"33"	0.1132	0.1684	0.4598	1.9255	0.1965	-0.0475	17.43	-2.1009	0	669
"34"	0.0509	0.2279	0.4105	1.1452	-0.0451	0.6346	20.2505	-102.8008	0	423
"35"	0.0135	0.3243	0.3445	0.1047	-0.3198	0.0406	17.3247	-257.9868	0	2103
"36"	0.01	0.332	0.3349	1.2858	0.1089	-0.0744	16.4245	-20.6923	0	818
"37"	0.0831	0.1355	0.4739	1.1361	-0.164	0.555	20.6571	-1.8493	0	965
"38"	0.1833	0.0756	0.5431	1.4388	-0.0086	0.0027	21.3893	-4.3626	0	777
"39"	0.01	0.3346	0.3361	0	-0.2774	0.0153	15.3821	-6.6366	0	2278
"40"	0.0649	0.3076	0.3698	4	-0.0706	-0.0087	12.8013	-0.3083	0	2491
"41"	0.0127	0.3052	0.3552	0.5243	0.3411	-0.0507	5.6124	-0.9684	0	3016
"42"	0.1907	0.2307	0.4646	4	-0.0806	-0.2293	15.2196	-1.4908	0	1772
"43"	0.0201	0.333	0.3382	1.6299	-0.2501	-0.499	11.619	-1.8528	0	1356
"44"	0.0597	0.1664	0.4619	0.1274	0.0258	0.1352	19.7826	-6.0572	0	1570
"45"	0.0196	0.0281	0.4922	4	-0.4962	0.3937	5.5303	-0.1127	0	1278
"46"	0.1413	0.2073	0.4423	0.4994	-0.0956	-0.2146	31.6882	-2.8366	0	1262
"47"	0.0835	0.272	0.3987	1.5507	-0.1017	-0.1597	16.0406	-3.9417	0	931
"48"	0.1186	0.1248	0.5231	0.8428	-0.0353	-0.0583	19.3915	-2.7604	0	2232
