"sig"	"p1"	"p2"	"l"	"a"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2427	0.4657	2.4706	0.2808	1.6996	5.532	0	0	3486
"2"	0.0976	0.234	0.4121	0.5053	1.3574	1.0168	25.8413	-2.4341	0	1213
"3"	0.1009	0.2282	0.51	2.4556	1.8793	0.5463	14.8349	-2.8747	0	1132
"4"	0.0502	0.2283	0.4476	1.0781	1.2229	0.4026	12.7595	-2.3727	0	587
"5"	0.1392	0.2223	0.4551	4	1.1315	1.2687	6.7321	-0.2755	0	2510
"6"	0.01	0.3005	0.3632	0.2089	0.7678	2.8487	8.5848	-1.7445	0	2713
"7"	0.01	0.334	0.3335	0.7328	1.0536	1.0402	24.5976	-5.9317	0	733
"8"	0.1372	0.2333	0.4849	2.1543	1.5784	0.8347	19.1541	-2.4028	0	1099
"9"	0.1804	0.2044	0.4785	4	1.4454	0.669	16.1489	-2.0176	0	2408
"10"	0.1683	0.1946	0.4115	1.208	1.1623	1.2235	28.0663	-3.9888	0	1931
"11"	0.1443	0.2463	0.4269	1.8039	1.5924	0.9751	22.5289	-1.4685	0	987
"12"	0.3236	0.2354	0.4379	2.1282	1.7715	1.6253	31.3624	-2.0255	0	1855
"13"	0.2789	0.2431	0.4371	4	1.3451	1.9585	11.0791	-0.949	0	1536
"14"	0.0715	0.2036	0.4417	0.3494	1.3714	1.307	18.6278	-3.7759	0	463
"15"	0.2967	0.2599	0.407	4	0.9847	0.8083	25.5361	-4.9703	0	1834
"16"	0.4288	0.502	0.498	0.4497	1.4673	1.1629	59.5584	-9.5849	0	914
"17"	0.0688	0.2283	0.4325	1.6807	1.2662	1.1162	9.212	-2.8155	0	1151
"18"	0.0823	0.2292	0.4612	1.5312	1.4969	0.746	15.9031	-5.0994	0	881
"19"	0.066	0.2147	0.4459	1.0304	1.1109	1.5423	12.3331	-7.5084	0	1217
"20"	0.1107	0.2358	0.4184	1.2391	1.1886	1.3825	18.9419	-7.2151	0	652
"21"	0.2582	0.2227	0.4306	1.6954	1.7946	1.2319	32.8297	-4.0372	0	981
"22"	0.2597	0.246	0.4409	0.9978	1.3965	1.078	45.6998	-5.7938	0	1057
"23"	0.1149	0.2767	0.3644	1.2505	1.23	1.1659	20.2611	-6.5747	0	547
"24"	0.2073	0.2202	0.4217	0.8828	2.2686	1.1005	34.3534	-12.8752	0	719
"25"	0.01	0.2158	0.4493	0.1569	1.0419	0.8878	0.0341	-2.5386	0	5856
"26"	0.0732	0.2189	0.4045	0.9546	1.0864	1.382	17.1984	-6.6378	0	623
"27"	0.2407	0.2026	0.4545	1.4963	1.3295	1.596	29.3611	-3.2893	0	1013
"28"	0.4574	0.2237	0.4273	4	1.5769	1.5657	20.9996	-12.0683	0	1818
"29"	0.1519	0.183	0.4871	0.8405	2.3328	0.64	25.325	-3.0252	0	1257
"30"	0.2486	0.2173	0.422	1.4519	1.3916	0.4178	41.8702	-8.0854	0	613
"31"	0.1909	0.1855	0.4527	1.8346	1.4328	0.9215	25.0082	-2.2188	0	1047
"32"	0.0957	0.2442	0.4039	1.572	1.6468	0.6392	18.9989	-3.2781	0	991
"33"	0.1111	0.1741	0.4568	1.3038	0.9515	0.9243	19.1869	-2.9037	0	1894
"34"	0.0584	0.2344	0.4108	0.7607	0.6681	2.1429	19.4299	-10.899	0	1063
"35"	0.01	0.3279	0.3399	0.5894	1.0376	1.1563	18.276	-38.0879	0	2460
"36"	0.01	0.332	0.3348	1.3147	1.0306	0.7469	16.5607	-43.1642	0	451
"37"	0.0448	0.1765	0.4684	1.5317	0.3248	2.3756	17.2394	-2.098	0	1804
"38"	0.1987	0.0731	0.5365	1.9339	1.1196	0.8294	21.1708	-4.8977	0	2316
"39"	0.01	0.3345	0.3357	0.0375	1.4509	1.0647	15.4034	-6.568	0	2071
"40"	0.0687	0.3069	0.3706	4	1.1328	1.0714	12.8008	-0.3079	0	1896
"41"	0.01	0.2965	0.3584	0.2141	0.6362	1.1308	5.2771	-1.2329	0	8405
"42"	0.1988	0.2133	0.4675	4	1.7261	0.9916	15.3365	-1.0871	0	2294
"43"	0.01	0.3333	0.3366	2.8289	1.7521	0.4519	11.6399	-2.2069	0	5041
"44"	0.0571	0.1649	0.4625	0.1036	0.781	1.1808	19.7765	-5.827	0	1824
"45"	0.0933	0.1876	0.4486	4	0.959	1.2637	5.1937	-0.0188	0	6327
"46"	0.142	0.2033	0.4433	0.5349	1.3978	0.9422	32.0718	-2.714	0	1897
"47"	0.085	0.2658	0.4025	1.4612	1.3098	1.0404	16.4625	-3.9175	0	1647
"48"	0.0401	0.0865	0.514	0.159	1.366	2.6367	16.5804	-3.009	0	2606
