"sig"	"p1"	"p2"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2447	0.4711	3.2058	0.4747	5.4485	0	0	2274
"2"	0.0868	0.2297	0.4158	0.3892	1.3578	25.9795	-2.3406	0	348
"3"	0.0964	0.2257	0.5207	0.8405	1.1786	21.4301	-3.4763	0	316
"4"	0.0555	0.2203	0.4531	0.3492	0.836	17.4021	-3.5097	0	454
"5"	0.1554	0.2224	0.4578	4	1.6729	6.9637	-0.5216	0	1193
"6"	0.01	0.3246	0.3416	1.2639	0.761	11.0444	-1.6673	0	1146
"7"	0.01	0.334	0.3335	0.7658	1.0477	24.5971	-5.9586	0	1694
"8"	0.1227	0.229	0.4925	1.1614	1.3789	21.8838	-2.0675	0	596
"9"	0.1963	0.197	0.485	2.0275	1.3095	20.5582	-3.0185	0	836
"10"	0.1799	0.1936	0.4115	1.3539	1.2599	28.0796	-4.2243	0	794
"11"	0.1169	0.2395	0.4327	1.0135	1.5202	24.6439	-1.1777	0	404
"12"	0.2797	0.2298	0.4466	1.7271	1.7094	33.3852	-2.406	0	470
"13"	0.2693	0.2391	0.4397	4	2.3182	11.0851	-0.9126	0	2162
"14"	0.0673	0.1977	0.4449	0.318	1.6085	18.7047	-4.1626	0	442
"15"	0.2866	0.262	0.4044	3.2759	1.0681	25.6726	-4.9963	0	682
"16"	0.4213	0.5027	0.4973	0.4339	1.0096	59.5609	-9.5841	0	1294
"17"	0.0649	0.227	0.4336	1.5341	1.3458	9.0752	-3.3302	0	644
"18"	0.0806	0.2265	0.4648	0.7526	1.3093	19.5589	-4.1648	0	264
"19"	0.0807	0.2106	0.4437	1.0758	1.9888	13.781	-9.4842	0	750
"20"	0.1235	0.2371	0.417	1.4437	1.5089	19.2829	-7.1614	0	388
"21"	0.1964	0.2231	0.4368	1.0614	1.6627	35.3626	-4.2949	0	976
"22"	0.2296	0.2416	0.4468	0.8021	1.4005	45.8882	-5.9872	0	342
"23"	0.1138	0.276	0.3646	1.2396	1.3389	20.193	-6.693	0	492
"24"	0.1475	0.2263	0.4276	0.4503	1.6948	39.1054	-11.6419	0	496
"25"	0.01	0.2187	0.451	0.14	0.9465	0.0897	-7.5037	0	3054
"26"	0.1022	0.2218	0.4043	1.3677	1.2041	18.4161	-4.5206	0	600
"27"	0.2415	0.1995	0.4563	1.5537	1.7981	29.3587	-3.3426	0	416
"28"	0.451	0.2127	0.436	3.9999	1.5883	21.5176	-10.8821	0	687
"29"	0.1108	0.174	0.4943	0.2632	1.5073	29.2957	-2.496	0	344
"30"	0.1826	0.223	0.4242	0.4744	0.8713	45.263	-8.2748	0	412
"31"	0.1614	0.1878	0.4543	1.227	1.3521	26.0601	-2.2128	0	602
"32"	0.0979	0.24	0.4143	0.6647	1.3175	25.9697	-4.5921	0	300
"33"	0.109	0.1772	0.4536	1.207	0.9819	19.342	-3.1143	0	576
"34"	0.1636	0.2311	0.4071	2.203	0.76	22.6748	-8.423	0	524
"35"	0.023	0.3188	0.3506	0.1413	2.1738	19.5902	-103.0196	0	1216
"36"	0.0719	0.323	0.341	0.9038	1.0518	28.4403	-7.9125	0	544
"37"	0.1377	0.1639	0.4784	3.0903	0.5204	18.3081	-2.3938	0	1030
"38"	0.1844	0.0754	0.5433	1.4638	1.0008	21.3927	-4.3316	0	394
"39"	0.01	0.3349	0.3367	0.0112	1.0226	15.4097	-6.6543	0	1404
"40"	0.0675	0.3072	0.3704	4	1.1687	12.8063	-0.3084	0	979
"41"	0.01	0.3147	0.3458	0.1036	1.5566	6.0487	-1.6235	0	3432
"42"	0.1911	0.2049	0.4745	2.1634	1.4381	19.1772	-2.3788	0	508
"43"	0.01	0.3335	0.3383	0.5851	1.3157	12.0527	-2.5661	0	896
"44"	0.0672	0.1703	0.4598	0.1673	0.8912	19.9341	-5.7064	0	696
"45"	0.2407	3e-04	0.6925	4	0.2925	25.8814	-4.4781	0	5215
"46"	0.1215	0.1972	0.4496	0.3669	1.3104	32.4037	-2.6804	0	412
"47"	0.0785	0.2619	0.4062	1.1835	1.3334	16.6758	-4.3045	0	514
"48"	0.0423	0.0857	0.5176	0.1771	2.904	16.768	-3.0728	0	856
