"sig"	"p1"	"p2"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.7135	0	0.7522	0.4088	80.8137	-16.9075	0	3583
"2"	0.1664	0.2353	0.4086	1.5186	41.2204	-7.5747	0	293
"3"	0.3118	0.1806	0.5658	1.4955	54.4633	-9.1998	0	199
"4"	0.0909	0.1928	0.4722	0.6611	28.6076	-7.6743	0	285
"5"	0.8478	0	0.7911	0.3975	83.6107	-16.9311	1	6003
"6"	0.3899	0.2356	0.3916	1.0027	76.039	-15.9961	0	151
"7"	0.0625	0.3338	0.3313	7.7556	36.1959	-8.728	0	454
"8"	0.4543	0.1525	0.5879	1.3815	67.0718	-8.951	0	293
"9"	0.5252	0	0.7724	0.3557	73.9472	-11.5645	0	2915
"10"	0.4212	0	0.5126	0.278	70.6826	-12.7318	0	3546
"11"	0.4093	0.2041	0.451	1.5895	70.3386	-12.6475	0	153
"12"	0.6783	0	0.7149	0.4499	79.9348	-13.355	1	9475
"13"	0.9584	0	0.7235	0.4469	85.9171	-16.9545	1	3748
"14"	0.1628	0.2129	0.4437	1.8582	35.9595	-4.6517	0	275
"15"	0.7874	0	0.6889	0.3023	84.5191	-16.5574	0	1098
"16"	0.3572	0.5032	0.4968	0.4615	61.6923	-10.8828	0	844
"17"	0.563	0	0.6247	0.5084	75.0882	-12.1868	0	2538
"18"	0.268	0.1823	0.5035	1.3196	55.0551	-6.917	0	155
"19"	0.5525	0	0.7466	0.3994	74.8311	-14.0404	1	4489
"20"	0.5176	0.1464	0.4739	1.2301	77.4677	-17.1045	0	189
"21"	0.5934	0	0.7457	0.5903	74.0587	-12.43	0	2960
"22"	0.3629	0.1909	0.4908	1.3373	66.5913	-10.521	0	165
"23"	0.3995	0.2573	0.3667	1.5809	72.8838	-17.9496	0	267
"24"	0.2957	0.2426	0.414	2.7023	55.6126	-14.3237	0	185
"25"	0.01	0.2252	0.4368	1.0288	0.0996	-0.0904	0	616
"26"	0.4243	0.1624	0.4193	1.2049	73.6309	-15.1197	0	161
"27"	0.6432	0	0.8099	0.3596	76.3026	-12.0415	1	4002
"28"	0.742	0	0.7778	0.3105	82.3825	-15.286	1	4447
"29"	0.1742	0.1822	0.4941	2.0204	34.9416	-4.9292	0	187
"30"	0.2004	0.197	0.4434	0.74	52.9649	-8.9142	0	129
"31"	0.4547	0	0.6294	0.5238	68.0117	-11.6072	1	2952
"32"	0.2405	0.2373	0.4128	1.5402	55.1654	-6.9953	0	177
"33"	0.2645	0	0.6895	0.1804	59.3595	-11.8674	0	3827
"34"	0.5798	0.1309	0.477	1.0067	81.1216	-14.5418	0	195
"35"	0.0874	0.3236	0.3429	6.59	40.2018	-48.3222	0	442
"36"	0.2738	0.3033	0.3368	1.1421	66.1675	-16.3772	0	233
"37"	0.6841	0	0.6634	0.5258	80.046	-16.7514	0	3531
"38"	0.3625	0	0.686	0.5476	61.3726	-12.4696	0	2510
"39"	0.01	0.3345	0.3353	1.7245	15.4372	-6.627	0	927
"40"	0.5981	0.2235	0.4231	1.3027	82.7049	-16.4675	0	229
"41"	0.01	0.3057	0.3506	0.945	6.1699	-1.6767	0	954
"42"	0.6344	0	0.7444	0.5181	76.5829	-11.6002	0	2470
"43"	0.01	0.3334	0.3338	6.5188	25.7801	-7.1587	0	882
"44"	0.0698	0.1577	0.4636	0.8681	20.6661	-6.1154	0	221
"45"	0.8733	0	0.6587	0.5346	84.6695	-17.0963	0	5396
"46"	0.1855	0.1832	0.4582	1.3324	41.9537	-6.5473	0	235
"47"	0.3781	0.2378	0.4093	1.6275	70.4666	-12.2156	0	163
"48"	0.2528	0	0.76	0.4285	44.6084	-9.0242	1	5063
