"sig"	"p1"	"p2"	"a"	"a1"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.7113	0	0.772	1.2714	0.3622	80.7294	-16.9276	0	2485
"2"	0.1664	0.2353	0.4086	0.5883	1.5186	41.2204	-7.5744	0	176
"3"	0.3118	0.1805	0.5658	2.3235	1.4953	54.4633	-9.2	0	304
"4"	0.0909	0.1928	0.4722	1.3175	0.6611	28.6076	-7.6742	0	248
"5"	0.8539	0	0.7836	0.743	0.4194	83.6538	-16.9257	1	4003
"6"	0.3898	0.2356	0.3915	0.8163	1.0028	76.039	-15.9968	0	218
"7"	0.0625	0.3338	0.3313	0.0087	7.7555	36.1959	-8.7284	0	1099
"8"	0.4543	0.1525	0.5879	0.7546	1.3813	67.0718	-8.9503	0	232
"9"	0.5039	0	0.8092	0.566	0.278	73.6832	-11.4456	1	3708
"10"	0.4437	0	0.5773	1.2722	0.2944	70.9178	-12.5034	0	3251
"11"	0.4093	0.2041	0.451	1.5981	1.589	70.3386	-12.6474	0	350
"12"	0.8018	0	0.6708	1.1983	0.6797	80.6942	-13.7376	0	1353
"13"	1.1026	0	0.727	0.3488	0.5309	86.1783	-16.9085	0	3002
"14"	0.1628	0.2129	0.4437	0.1212	1.8581	35.9595	-4.6514	0	534
"15"	0.8523	0	0.6485	0.9665	0.2662	84.415	-16.6618	1	4004
"16"	0.3311	0.5015	0.4985	1.3742	0.4538	61.7432	-10.738	0	1533
"17"	0.4785	0.1357	0.491	1.4993	1.1302	75.707	-11.8636	0	246
"18"	0.268	0.1823	0.5035	0.8002	1.3196	55.0551	-6.9165	0	198
"19"	0.5923	0	0.7097	1.2626	0.4758	75.096	-14.0882	1	3695
"20"	0.5177	0.1464	0.474	1.1394	1.2301	77.4677	-17.105	0	168
"21"	0.5171	0.1826	0.4983	0.5419	1.7407	73.4589	-11.2083	0	220
"22"	0.3629	0.1909	0.4907	1.0051	1.3375	66.5913	-10.521	0	224
"23"	0.3996	0.2573	0.3667	0.0537	1.5815	72.8838	-17.9497	0	494
"24"	0.2957	0.2426	0.414	0.066	2.7024	55.6126	-14.3244	0	518
"25"	0.01	0.2233	0.4385	1.0299	1.0142	0.0992	-0.0976	0	668
"26"	0.4244	0.1623	0.4193	0.569	1.2047	73.6309	-15.1195	0	164
"27"	0.6472	0	0.8914	0.9589	0.299	76.3688	-11.9278	1	4003
"28"	0.7601	0	0.7231	0.9069	0.3936	82.6433	-15.3846	1	4004
"29"	0.1742	0.1822	0.4941	0.5772	2.0203	34.9416	-4.9291	0	222
"30"	0.2004	0.1969	0.4435	1.224	0.74	52.9649	-8.9146	0	136
"31"	0.4139	0	0.6615	0.6875	0.3719	67.2997	-11.421	1	4349
"32"	0.2405	0.2373	0.4128	0.6293	1.5404	55.1654	-6.9948	0	166
"33"	0.3253	0	0.6932	0.9073	0.2049	60.0509	-12.2642	0	2311
"34"	0.5797	0.1308	0.4771	1.1634	1.0062	81.1216	-14.5414	0	266
"35"	0.0874	0.3236	0.3429	1.1576	6.5898	40.2018	-48.3256	0	517
"36"	0.2738	0.3033	0.3368	0.9981	1.1423	66.1675	-16.3773	0	230
"37"	0.6932	0	0.6812	0.8921	0.5254	80.0664	-16.7239	0	2992
"38"	0.3681	0	0.7067	1.1709	0.4851	61.0724	-12.3488	1	3703
"39"	0.01	0.3345	0.3352	0.4653	1.7523	15.4367	-6.5956	0	760
"40"	0.5981	0.2234	0.4232	4.5493	1.3024	82.7049	-16.4673	0	336
"41"	0.01	0.3051	0.3514	1.1079	0.9177	6.153	-1.6103	0	1150
"42"	0.5911	0	0.7076	2.4587	0.5054	76.6698	-11.6522	1	2526
"43"	0.01	0.3334	0.3337	0.1372	6.5185	25.768	-7.1952	0	2181
"44"	0.0698	0.1577	0.4636	1.056	0.8681	20.6661	-6.1158	0	292
"45"	0.8757	0	0.6796	0.7066	0.5164	84.6087	-17.0502	0	3292
"46"	0.1855	0.1832	0.4582	0.6316	1.3325	41.9537	-6.5475	0	240
"47"	0.3782	0.2378	0.4093	0.7848	1.6281	70.4666	-12.2168	0	204
"48"	0.202	0	0.7126	97.8914	0.3149	44.7043	-8.9398	0	5173
