"sig"	"p1"	"p2"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2444	0.476	3.9997	0.3082	5.9449	0	0	1736
"2"	0.0986	0.234	0.4121	0.5186	1.3634	25.845	-2.4211	0	452
"3"	0.1031	0.2315	0.5059	1.0829	1.4601	18.939	-2.7684	0	462
"4"	0.0553	0.2186	0.4545	0.3315	0.8029	17.6522	-3.3772	0	686
"5"	0.1207	0.2143	0.4541	4	1.0319	7.735	-0.1175	0	955
"6"	0.01	0.3241	0.3421	1.2187	0.7103	10.6364	-1.6769	0	910
"7"	0.01	0.334	0.3335	0.7903	1.0405	24.6604	-6.0363	0	1266
"8"	0.1337	0.2339	0.4831	1.7376	1.5444	19.4771	-2.5532	0	294
"9"	0.2284	0.2071	0.4755	3.4117	1.6256	17.9616	-2.0911	0	584
"10"	0.1939	0.1928	0.4109	1.5722	1.1685	28.3165	-4.5377	0	434
"11"	0.1429	0.2461	0.4268	1.7432	1.5848	22.5354	-1.4654	0	440
"12"	0.4018	0.233	0.4409	3.3785	1.6557	32.5159	-2.7152	0	458
"13"	0.2508	0.2274	0.4471	4	1.056	14.5709	-0.9484	0	1849
"14"	0.088	0.2058	0.444	0.5322	1.4645	19.9965	-3.375	0	458
"15"	0.2839	0.2602	0.406	3.2822	1.0217	25.7203	-4.9212	0	756
"16"	0.4293	0.5042	0.4958	0.4509	1.0582	59.5592	-9.5734	0	1144
"17"	0.0734	0.2286	0.4323	1.942	1.2858	9.4596	-2.5987	0	490
"18"	0.0826	0.2306	0.4578	1.0271	1.4226	17.3168	-3.5805	0	454
"19"	0.1062	0.2126	0.4509	1.8605	1.1555	15.2582	-4.3019	0	272
"20"	0.1474	0.2366	0.4173	1.9417	1.2415	20.1218	-4.7603	0	432
"21"	0.281	0.2235	0.4302	2.1384	1.7992	33.1741	-4.2918	0	570
"22"	0.2684	0.2466	0.4407	1.0926	1.4001	45.7399	-5.8343	0	374
"23"	0.1294	0.2797	0.3623	1.5916	1.2821	20.4797	-5.7672	0	518
"24"	0.2133	0.2225	0.4208	0.9863	2.2716	34.4313	-12.3977	0	336
"25"	0.01	0.246	0.4167	0.1	1.324	0.2088	-0.0544	0	4312
"26"	0.1105	0.2211	0.405	1.5119	1.0988	19.0694	-3.4079	0	360
"27"	0.3014	0.2086	0.4558	2.4807	1.2555	30.1632	-3.5171	0	594
"28"	0.3823	0.2183	0.4352	4	1.2883	22.2928	-12.0782	0	1086
"29"	0.1414	0.1798	0.4814	0.4775	2.0078	26.2413	-2.5116	0	816
"30"	0.1844	0.2259	0.4211	0.4635	0.9014	45.631	-8.0229	0	326
"31"	0.1852	0.1866	0.4518	1.6641	1.4261	25.0587	-2.1715	0	430
"32"	0.0986	0.2423	0.4082	0.8995	1.4988	22.172	-2.9098	0	512
"33"	0.1067	0.1747	0.4558	1.1766	0.9477	19.2388	-3.0366	0	638
"34"	0.1603	0.2319	0.4069	2.1039	0.7255	22.6008	-7.9378	0	398
"35"	0.0602	0.303	0.3708	0.6681	1.0806	20.1003	-9.0687	0	354
"36"	0.0914	0.321	0.3417	1.0033	1.1489	27.4695	-8.3925	0	456
"37"	0.1646	0.1603	0.4758	2.8017	0.5201	18.3315	-2.1562	0	446
"38"	0.1887	0.0782	0.5357	1.5298	1.0867	21.345	-4.6431	0	730
"39"	0.01	0.3347	0.3363	0.0181	1.166	15.3976	-6.6286	0	1108
"40"	0.0764	0.305	0.3725	4	1.2078	12.8483	-0.3106	0	1113
"41"	0.01	0.303	0.3548	0.2862	0.6788	5.3618	-1.1668	0	1500
"42"	0.1992	0.2133	0.4676	4	1.7328	15.3373	-1.0744	0	1163
"43"	0.01	0.3334	0.3378	0.8414	1.262	11.9293	-2.3959	0	676
"44"	0.0662	0.1684	0.4603	0.1583	0.8781	19.9136	-5.6611	0	770
"45"	0.0867	0.1983	0.4491	4	0.985	6.1223	-0.0072	0	833
"46"	0.137	0.2029	0.4438	0.4859	1.3655	32.1015	-2.7043	0	372
"47"	0.0871	0.2667	0.4017	1.551	1.3244	16.4957	-3.8929	0	402
"48"	0.1142	0.1126	0.5378	0.8148	0.9977	19.7293	-3.3163	0	464
