"sig"	"p1"	"p2"	"l"	"a"	"a1"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2444	0.4761	3.9999	0.5865	0.308	5.945	0	0	2162
"2"	0.0986	0.234	0.4121	0.5186	1.0773	1.3635	25.845	-2.4215	0	299
"3"	0.1031	0.2315	0.5059	1.0829	1.3436	1.46	18.939	-2.7683	0	417
"4"	0.0553	0.2186	0.4545	0.3315	1.488	0.8029	17.6522	-3.3771	0	630
"5"	0.1207	0.2143	0.454	4	2.1006	1.0321	7.735	-0.1173	0	1834
"6"	0.0101	0.324	0.3421	1.2192	1.0754	0.7104	10.6366	-1.6786	0	1088
"7"	0.01	0.334	0.3335	0.7902	1.1917	1.0406	24.6603	-6.0267	0	743
"8"	0.1337	0.2339	0.4831	1.7377	0.952	1.5444	19.4771	-2.553	0	335
"9"	0.2284	0.2071	0.4755	3.4116	0.2066	1.6256	17.9616	-2.0912	0	1299
"10"	0.194	0.1928	0.4109	1.5723	0.5545	1.1685	28.3165	-4.5382	0	575
"11"	0.1428	0.2461	0.4268	1.7432	0.0684	1.5848	22.5354	-1.4654	0	530
"12"	0.4018	0.233	0.4409	3.3786	0.6358	1.6556	32.5159	-2.7152	0	438
"13"	0.2502	0.2276	0.4468	4	0.93	1.0522	14.5714	-0.9408	0	2390
"14"	0.088	0.2058	0.444	0.5321	1.1238	1.4644	19.9965	-3.3748	0	265
"15"	0.2839	0.2602	0.406	3.2822	0.1981	1.0217	25.7203	-4.9211	0	586
"16"	0.427	0.5014	0.4986	0.4465	0.8012	1.0463	59.5595	-9.5945	0	958
"17"	0.0734	0.2286	0.4323	1.9421	0.2618	1.2859	9.4596	-2.5982	0	872
"18"	0.0826	0.2306	0.4578	1.0272	5.9357	1.4227	17.3168	-3.5801	0	874
"19"	0.1062	0.2126	0.4509	1.8605	0.1819	1.1554	15.2582	-4.3016	0	317
"20"	0.1474	0.2366	0.4173	1.9417	0.2156	1.2416	20.1218	-4.7613	0	1011
"21"	0.2811	0.2235	0.4302	2.1386	0.0566	1.7993	33.1741	-4.292	0	1119
"22"	0.2683	0.2467	0.4407	1.0925	0.5142	1.4	45.7399	-5.8342	0	259
"23"	0.1294	0.2797	0.3623	1.5915	0.7638	1.282	20.4797	-5.767	0	363
"24"	0.2133	0.2225	0.4208	0.9862	1.2182	2.2713	34.4313	-12.3979	0	369
"25"	0.01	0.2451	0.419	0.0996	0.6225	1.2625	0.1893	-0.0544	0	3022
"26"	0.1105	0.2211	0.405	1.5119	0.8106	1.0988	19.0694	-3.4081	0	433
"27"	0.3014	0.2086	0.4558	2.4809	0.8238	1.2555	30.1632	-3.517	0	381
"28"	0.3822	0.2182	0.4352	4	0.2744	1.2875	22.2928	-12.0832	0	1619
"29"	0.1414	0.1798	0.4814	0.4775	1.1505	2.0079	26.2413	-2.5116	0	365
"30"	0.1844	0.2259	0.4211	0.4635	1.5301	0.9013	45.631	-8.0231	0	467
"31"	0.1852	0.1866	0.4518	1.6642	0.0509	1.4261	25.0587	-2.1721	0	932
"32"	0.0986	0.2422	0.4082	0.8995	1.2518	1.4988	22.172	-2.9097	0	491
"33"	0.1067	0.1747	0.4558	1.1766	1.3979	0.9477	19.2388	-3.0369	0	473
"34"	0.1603	0.2319	0.4069	2.1037	0.6266	0.7255	22.6008	-7.9364	0	311
"35"	0.0602	0.303	0.3708	0.6681	1.0778	1.0806	20.1003	-9.068	0	465
"36"	0.0914	0.321	0.3417	1.0033	0.9972	1.1489	27.4695	-8.3922	0	387
"37"	0.1646	0.1603	0.4758	2.8013	0.395	0.5201	18.3315	-2.1563	0	544
"38"	0.1887	0.0783	0.5357	1.5295	0.6478	1.0867	21.3449	-4.6435	0	243
"39"	0.01	0.3345	0.3353	0.0676	1.1401	1.6435	15.4199	-6.5316	0	784
"40"	0.0763	0.305	0.3725	4	0.7822	1.2076	12.8483	-0.3104	0	2234
"41"	0.01	0.316	0.346	0.2611	70.6977	0.9669	5.8884	-1.3803	0	4631
"42"	0.1991	0.2133	0.4676	4	0.3916	1.7329	15.3373	-1.0751	0	2075
"43"	0.01	0.3334	0.3382	0.789	1.4682	1.1792	11.9261	-2.4039	0	912
"44"	0.0662	0.1684	0.4604	0.1583	1.271	0.8782	19.9136	-5.6608	0	756
"45"	0.0867	0.1982	0.4491	4	2.8623	0.985	6.1223	-0.0072	0	1222
"46"	0.137	0.2029	0.4438	0.4859	1.1857	1.3655	32.1015	-2.7044	0	369
"47"	0.0871	0.2667	0.4017	1.551	0.3177	1.3245	16.4957	-3.8925	0	379
"48"	0.1142	0.1125	0.5378	0.8148	1.1262	0.9977	19.7293	-3.3166	0	293
