"sig"	"p1"	"p2"	"u"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2454	0.4734	0.5936	1.2219	0.3245	7.0418	-0.0019	0	1626
"2"	0.094	0.234	0.4121	0.142	0.4477	1.3634	25.845	-2.4212	0	381
"3"	0.0963	0.2315	0.5059	0.1589	0.9465	1.46	18.939	-2.7686	0	429
"4"	0.0468	0.2186	0.4545	0.2384	0.1268	0.8029	17.6522	-3.3774	0	672
"5"	0.0149	0.235	0.4958	0.9366	3.9807	2.9864	5.4321	-0.6276	0	3744
"6"	0.01	0.3241	0.3421	0.0986	1.2221	0.7103	10.6364	-1.6766	0	1082
"7"	0.01	0.3339	0.3335	-0.0454	1.081	1.0349	24.6599	-6.0294	0	1024
"8"	0.0774	0.2339	0.4831	0.4787	0.5856	1.5443	19.4771	-2.5528	0	617
"9"	0.1245	0.2071	0.4755	0.5094	1.4047	1.6255	17.9616	-2.0916	0	291
"10"	0.1577	0.1928	0.4109	0.2684	1.091	1.1685	28.3165	-4.5381	0	261
"11"	0.1002	0.2461	0.4268	0.3686	0.9243	1.5848	22.5354	-1.4653	0	535
"12"	0.0957	0.233	0.4409	0.7856	0.0432	1.6556	32.5159	-2.7151	0	518
"13"	0.0437	0.2752	0.4073	0.9437	0.8145	2.005	10.1195	-0.7981	0	1430
"14"	0.0886	0.2058	0.444	0.0939	0.5425	1.4645	19.9965	-3.3746	0	471
"15"	0.1281	0.2602	0.406	0.5938	0.9327	1.0217	25.7203	-4.921	0	321
"16"	0.5247	0.5047	0.4953	-0.1	0.7738	1.058	59.5599	-9.5686	0	1565
"17"	0.0496	0.2286	0.4323	0.3915	0.989	1.2858	9.4596	-2.5982	0	487
"18"	0.0879	0.2306	0.4578	0.0424	1.157	1.4227	17.3168	-3.5804	0	241
"19"	0.0772	0.2126	0.4509	0.3452	1.0812	1.1555	15.2582	-4.302	0	295
"20"	0.0885	0.2366	0.4173	0.4597	0.7659	1.2415	20.1218	-4.7607	0	513
"21"	0.1605	0.2234	0.4302	0.4861	0.7922	1.7993	33.1741	-4.2921	0	501
"22"	0.3208	0.2466	0.4407	-0.076	1.5018	1.4	45.7399	-5.8344	0	1113
"23"	0.1028	0.2797	0.3623	0.2849	1.059	1.282	20.4797	-5.7674	0	393
"24"	0.1472	0.2225	0.4208	0.3788	0.3709	2.2715	34.4313	-12.3978	0	499
"25"	0.01	0.2212	0.4445	-0.0687	0.3321	1.0019	0.0143	-0.9764	0	3624
"26"	0.0962	0.2211	0.405	0.2163	1.1872	1.0988	19.0694	-3.4083	0	311
"27"	0.1838	0.2086	0.4558	0.4512	1.1226	1.2555	30.1632	-3.5177	0	333
"28"	0.157	0.2309	0.4218	0.7925	1.1298	1.6173	20.9726	-13.9587	0	273
"29"	0.2072	0.1358	0.4869	-0.0994	1.1576	3.4441	26.3239	-3.6363	0	1637
"30"	0.219	0.2259	0.4211	-0.0685	0.7374	0.9013	45.631	-8.0236	0	1340
"31"	0.1453	0.1866	0.4518	0.2939	1.0902	1.4261	25.0587	-2.1718	0	311
"32"	0.1081	0.2422	0.4082	0.0132	1.0828	1.4989	22.172	-2.9092	0	381
"33"	0.0953	0.1747	0.4558	0.1965	0.9433	0.9477	19.2388	-3.0369	0	457
"34"	0.121	0.2319	0.4069	0.3204	1.3435	0.7255	22.6008	-7.9363	0	487
"35"	0.0654	0.303	0.3708	0.022	0.8126	1.0806	20.1003	-9.0686	0	599
"36"	0.0913	0.321	0.3417	0.1	1.003	1.1487	27.4695	-8.3919	0	465
"37"	0.1023	0.1603	0.4758	0.4406	1.3627	0.5201	18.3315	-2.1564	0	387
"38"	0.1515	0.0782	0.5357	0.2775	1.0307	1.0867	21.3449	-4.6435	0	499
"39"	0.01	0.3343	0.3348	-0.0989	0.2774	1.7184	15.3896	-6.4821	0	1745
"40"	0.0114	0.3139	0.3621	0.829	0.2919	1.1632	12.8067	-0.3433	0	826
"41"	0.01	0.3055	0.3539	0.2671	0.0645	0.7128	5.6141	-1.3036	0	3864
"42"	0.0697	0.2143	0.4703	0.7048	0.8897	1.8556	15.1985	-1.0246	0	333
"43"	0.01	0.3334	0.3366	-0.0673	1.3571	1.4539	11.9234	-2.3543	0	1198
"44"	0.0588	0.1684	0.4604	0.2014	0.0278	0.8782	19.9136	-5.6609	0	1884
"45"	0.01	0.076	0.479	0.8208	2.1516	0.8303	4.3562	-0.0018	0	2574
"46"	0.1638	0.2029	0.4438	-0.0756	0.7759	1.3654	32.1015	-2.7043	0	2853
"47"	0.0576	0.2667	0.4017	0.4056	0.6848	1.3245	16.4957	-3.8915	0	407
"48"	0.0771	0.1125	0.5379	0.3925	0.2249	0.9976	19.7293	-3.3169	0	1564
