"sig"	"p1"	"p2"	"u"	"l"	"a"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.0331	0.2396	0.4638	0.5974	0.9344	0.2441	0.144	11.6794	-0.1574	0	500
"2"	0.1253	0.2341	0.4132	-0.0996	0.9709	-0.0726	-0.2483	23.9793	-2.3506	0	2368
"3"	0.0935	0.2286	0.5177	0.207	0.8942	0.0067	-0.1436	19.4388	-3.6042	0	694
"4"	0.0653	0.2243	0.4513	-0.0469	0.9914	0.2296	-0.0746	13.9273	-1.5667	0	1534
"5"	0.01	0.2407	0.4743	0.9	1.074	0.1514	0.2619	6.0422	-0.0936	0	1548
"6"	0.01	0.3226	0.3437	0.3712	1.0771	0.2569	0.088	11.3692	-1.9364	0	1308
"7"	0.01	0.3339	0.3335	0.0329	0.8881	-0.0246	-0.0191	24.5939	-5.9472	0	3372
"8"	0.12	0.2368	0.4839	0.1721	1.4016	-0.0805	-0.1786	19.8768	-2.4502	0	1016
"9"	0.0101	0.1934	0.4902	0.8802	0.7561	0.6394	-0.0749	12.2053	-1.02	0	3764
"10"	0.2068	0.1991	0.4087	-0.0274	1.7121	-0.0938	-0.0646	28.1207	-4.2471	0	4614
"11"	0.1611	0.2543	0.4223	-0.0811	1.9539	-0.1741	-0.2169	22.7868	-1.2541	0	2078
"12"	0.2427	0.2486	0.431	0.3368	1.3084	-0.4187	-0.2658	31.0549	-2.066	0	796
"13"	0.0818	0.2724	0.4121	0.8233	1.4111	-0.3731	0.0031	9.896	-0.8147	0	834
"14"	0.0757	0.2143	0.4372	0.1487	0.3568	-0.1855	-0.2094	18.4793	-3.2642	0	1210
"15"	0.01	0.3274	0.3396	0.9755	1.4537	0.4345	-0.2587	23.2233	-6.2904	0	3412
"16"	0.5259	0.5009	0.4991	-0.1	0.7921	0.0131	-0.0207	59.5547	-9.5806	0	3826
"17"	0.0299	0.2356	0.4291	0.5961	0.2507	-0.1025	-0.1198	8.8876	-2.9235	0	980
"18"	0.0825	0.2209	0.4646	0.2652	1.2044	0.0664	-0.3107	16.7889	-2.8705	0	1351
"19"	0.0772	0.2165	0.4446	0.0931	1.1982	-0.2038	0.0016	12.2804	-4.7941	0	654
"20"	0.1372	0.2372	0.4174	-0.0795	1.7274	-0.2	-0.0391	18.7286	-7.0604	0	782
"21"	0.2821	0.2392	0.4243	-0.0958	1.8152	-0.3409	-0.2394	33.1122	-3.8793	0	2366
"22"	0.3286	0.2525	0.4374	-0.0987	1.6066	-0.1031	-0.217	45.0833	-5.5183	0	1856
"23"	0.1476	0.2812	0.3616	-0.0994	1.9431	-0.1198	-0.1196	20.21	-6.4004	0	2342
"24"	0.2546	0.2293	0.4167	-0.1	1.1474	-0.3564	-0.5	35.2586	-13.8209	0	6672
"25"	0.01	0.2167	0.4494	-0.1	0.3931	0.0201	-0.0158	0.0077	-3.4004	0	8048
"26"	0.1034	0.2228	0.4033	-0.036	1.4942	-0.1182	-0.0163	18.0219	-4.6361	0	688
"27"	0.221	0.2154	0.4513	0.3102	1.498	-0.112	-0.1192	29.6936	-3.2064	0	536
"28"	0.2442	0.2376	0.4197	0.5949	1.5531	-0.4096	-0.2286	20.8444	-12.0397	0	424
"29"	0.1521	0.1856	0.4832	0.0363	0.5218	-0.2078	-0.3652	27.5742	-2.3473	0	3544
"30"	0.1216	0.22	0.4253	0.498	0.0049	0.1832	-0.0487	44.3507	-8.6982	0	994
"31"	0.1694	0.1997	0.448	0.1239	1.3935	-0.1087	-0.1431	25.3804	-2.045	0	674
"32"	0.1055	0.249	0.4041	-0.057	1.7175	0.0231	-0.2677	17.3942	-3.8023	0	788
"33"	0.0928	0.1684	0.4598	0.2621	1.3985	0.1965	-0.0474	17.43	-2.1009	0	924
"34"	0.0668	0.2279	0.4105	0.2322	0.8301	-0.0693	0.4383	20.2505	-19.9191	0	620
"35"	0.0114	0.3249	0.3437	0.1844	9e-04	-0.3218	0.0378	17.3247	-297.9874	0	14050
"36"	0.01	0.3317	0.3354	0.3773	1.2526	0.3447	-0.1173	16.4279	-29.7928	0	718
"37"	0.0708	0.153	0.4747	0.5195	0.9873	0.0887	0.4352	19.3039	-1.9483	0	420
"38"	0.0951	0.054	0.5225	0.6328	0.5251	-6e-04	-0.3219	21.6735	-6.2035	0	1324
"39"	0.01	0.3343	0.3355	-0.0992	0.1868	-0.3343	0.0068	15.3469	-6.5808	0	6988
"40"	0.0166	0.3172	0.3584	0.71	1.3971	-0.0554	-0.1168	12.7766	-0.3391	0	780
"41"	0.0103	0.3156	0.3471	-0.0954	0.8553	0.2369	0.012	5.6124	-0.9684	0	4380
"42"	0.0695	0.2331	0.4675	0.6842	1.0176	-0.0498	-0.2381	15.1575	-1.6101	0	744
"43"	0.0101	0.3328	0.3408	0.5154	0.4161	0.1731	-0.2293	11.619	-1.853	0	1232
"44"	0.0535	0.1664	0.4619	0.1941	0.0095	0.0257	0.1352	19.7826	-6.0575	0	1858
"45"	0.01	0.096	0.4742	0.8049	3.8184	0.3572	-1e-04	4.2278	0	0	5216
"46"	0.1021	0.2038	0.4416	0.415	0.0189	-0.0925	-0.303	31.8773	-3.1847	0	2384
"47"	0.0763	0.2719	0.3987	0.1779	1.3299	-0.1017	-0.1597	16.0406	-3.9413	0	1496
"48"	0.1276	0.1248	0.5231	0.0321	0.9816	-0.0353	-0.0583	19.3915	-2.7605	0	4128
