"sig"	"p1"	"p2"	"u"	"l"	"a"	"b"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2417	0.4604	0.2796	1.4182	0.3072	1.9055	5.8096	-1e-04	0	3396
"2"	0.1105	0.234	0.4121	-0.0195	0.705	1.3572	1.0169	25.8413	-2.4343	0	908
"3"	0.0663	0.2282	0.51	0.4085	1.2713	1.8794	0.5463	14.8349	-2.875	0	1008
"4"	0.0399	0.2282	0.4476	0.285	0.6506	1.2228	0.4027	12.7595	-2.3725	0	842
"5"	0.01	0.2278	0.4908	0.9281	3.9969	2.2445	0.3859	4.6135	-0.0012	0	5684
"6"	0.01	0.3003	0.3631	0.14	0.1697	0.7612	2.7717	8.5792	-1.6262	0	6128
"7"	0.01	0.3342	0.3336	0.3284	0.2987	1.0647	1.033	24.599	-5.9352	0	4298
"8"	0.1001	0.2333	0.4849	0.3432	1.3016	1.5783	0.8349	19.1541	-2.4028	0	1234
"9"	0.0239	0.1907	0.4879	0.8866	1.2441	1.7579	0.2334	13.8504	-2.0413	0	828
"10"	0.1472	0.1945	0.4115	0.213	0.9312	1.1623	1.2232	28.0663	-3.9892	0	594
"11"	0.0813	0.2463	0.4269	0.4928	0.5803	1.5924	0.975	22.5289	-1.4684	0	504
"12"	0.3607	0.2355	0.4379	-0.0031	2.4869	1.7717	1.6254	31.3624	-2.0253	0	938
"13"	0.0223	0.2885	0.3918	0.9714	0.2124	2.8078	1.5934	9.9359	-0.9192	0	2462
"14"	0.0575	0.2036	0.4417	0.2762	0.0852	1.3714	1.3071	18.6278	-3.7759	0	2272
"15"	0.1149	0.2607	0.4066	0.6685	1.0566	0.9784	0.7253	25.5105	-5.0281	0	640
"16"	0.5272	0.5047	0.4953	-0.1	0.7779	1.2524	1.0696	59.5618	-9.5652	0	1470
"17"	0.0471	0.2283	0.4325	0.3838	0.8356	1.2661	1.1162	9.212	-2.8167	0	602
"18"	0.0816	0.2292	0.4612	0.1077	1.5092	1.4968	0.7461	15.9031	-5.0987	0	1552
"19"	0.0493	0.2146	0.4459	0.3276	0.5169	1.1108	1.5424	12.3331	-7.509	0	848
"20"	0.0785	0.2358	0.4184	0.3622	0.587	1.1886	1.3824	18.9419	-7.2147	0	466
"21"	0.2829	0.2227	0.4306	0.014	1.953	1.7945	1.2318	32.8297	-4.0374	0	618
"22"	0.2602	0.246	0.4409	0.0988	1.0004	1.3966	1.0783	45.6998	-5.7943	0	638
"23"	0.0893	0.2767	0.3644	0.3007	0.7486	1.2301	1.1659	20.2611	-6.5744	0	598
"24"	0.1214	0.2202	0.4217	0.4727	0.1031	2.2683	1.1006	34.3534	-12.8759	0	1460
"25"	0.01	0.2163	0.4498	-0.1	0.4105	1.0239	0.9094	0.0057	-4.0509	0	13706
"26"	0.0533	0.2189	0.4045	0.3447	0.4233	1.0863	1.382	17.1984	-6.636	0	1172
"27"	0.0975	0.2026	0.4545	0.6355	0.0107	1.3295	1.5962	29.3611	-3.2893	0	3534
"28"	0.152	0.229	0.4226	0.7711	0.7837	1.6603	1.3203	20.8599	-13.2208	0	792
"29"	0.1825	0.183	0.4871	-0.0818	1.2124	2.3329	0.64	25.325	-3.0253	0	758
"30"	0.2679	0.2172	0.4221	0.0303	1.6435	1.3921	0.4174	41.8702	-8.0875	0	608
"31"	0.1479	0.1855	0.4527	0.3028	1.1963	1.4328	0.9213	25.0082	-2.2188	0	550
"32"	0.074	0.2442	0.4039	0.3035	0.9906	1.6468	0.6392	18.9989	-3.2781	0	880
"33"	0.0842	0.1741	0.4568	0.3175	0.747	0.9515	0.9242	19.1869	-2.9033	0	1036
"34"	0.0452	0.2344	0.4108	0.3031	0.3634	0.6682	2.1428	19.4299	-10.8886	0	1196
"35"	0.01	0.326	0.342	0.3244	0.2	1.0295	1.1457	18.2787	-22.8809	0	4406
"36"	0.01	0.3316	0.3354	0.4518	1.0169	0.9764	0.5105	16.643	-117.4484	0	2076
"37"	0.0177	0.1765	0.4684	0.6445	2e-04	0.3254	2.372	17.2394	-2.0977	0	1648
"38"	0.1742	0.0731	0.5365	0.2114	1.5707	1.1198	0.8294	21.1708	-4.8981	0	1074
"39"	0.01	0.3341	0.3337	-0.086	1.5677	3.0133	0.3934	16.0975	-6.3296	0	2624
"40"	0.0183	0.316	0.3598	0.6773	1.5699	1.1022	1.0462	12.7733	-0.3386	0	1530
"41"	0.01	0.3201	0.3441	-0.1	1.0484	0.8942	0.6616	6.0892	-1.0423	0	10696
"42"	0.0595	0.2143	0.4717	0.7563	0.9906	1.8559	0.7643	14.9518	-1.3499	0	530
"43"	0.01	0.3333	0.34	0.7357	0.4933	2.3151	0.6186	11.5889	-2.2334	0	7830
"44"	0.0633	0.1649	0.4625	0.0022	0.2235	0.781	1.1808	19.7765	-5.8268	0	2050
"45"	0.01	0.09	0.4761	0.8219	3.9567	1.0009	0.4554	3.9861	0	0	6587
"46"	0.1542	0.2033	0.4433	0.0224	0.6673	1.3978	0.9422	32.0718	-2.7143	0	456
"47"	0.0662	0.2658	0.4025	0.2999	0.9143	1.3098	1.0404	16.4625	-3.9168	0	768
"48"	0.0426	0.0865	0.514	0.0442	0.2309	1.3661	2.6372	16.5804	-3.0092	0	2738
