"sig"	"p1"	"p2"	"u"	"l"	"a"	"lfit"	"lpred"	"conver"	"iter"
"1"	0.01	0.2456	0.4695	0.5222	1.2654	0.4766	6.2135	-0.001	0	2043
"2"	0.0647	0.2297	0.4158	0.3297	0.0346	1.3578	25.9795	-2.3406	0	918
"3"	0.1178	0.2257	0.5207	-0.0999	1.2494	1.1787	21.4301	-3.4765	0	1257
"4"	0.0421	0.2203	0.4531	0.3169	0.0241	0.836	17.4021	-3.5093	0	1370
"5"	0.0148	0.2449	0.4814	0.9079	1.1547	0.919	6.0786	-0.2038	0	846
"6"	0.01	0.3254	0.3408	0.004	1.5005	0.76	11.0424	-1.6661	0	1334
"7"	0.01	0.3339	0.3335	-0.0935	1.1537	1.0384	24.5966	-5.9613	0	3733
"8"	0.0888	0.2291	0.4925	0.3488	0.564	1.379	21.8838	-2.0675	0	519
"9"	0.1408	0.197	0.485	0.3547	1.1709	1.3096	20.5582	-3.0184	0	239
"10"	0.1512	0.1936	0.4115	0.2435	0.9785	1.2599	28.0796	-4.224	0	397
"11"	0.1194	0.2395	0.4327	0.0802	1.0579	1.5202	24.6439	-1.1776	0	483
"12"	0.2022	0.2298	0.4466	0.3496	0.9712	1.7093	33.3852	-2.4064	0	375
"13"	0.0763	0.2506	0.4363	0.8625	0.7912	1.5283	10.2801	-0.7091	0	465
"14"	0.0672	0.1977	0.4449	0.101	0.3165	1.6084	18.7047	-4.163	0	754
"15"	0.1221	0.262	0.4044	0.6165	0.8217	1.0681	25.6726	-4.9965	0	323
"16"	0.5056	0.5027	0.4973	-0.0744	0.7155	0.9994	59.5603	-9.5843	0	1526
"17"	0.0535	0.227	0.4336	0.2576	1.0902	1.3458	9.0752	-3.3302	0	411
"18"	0.098	0.2265	0.4648	-0.0943	1.1309	1.3093	19.5589	-4.1649	0	2304
"19"	0.089	0.2106	0.4437	0.0069	1.2903	1.9891	13.781	-9.4857	0	459
"20"	0.0907	0.2371	0.417	0.3393	0.7943	1.5085	19.2829	-7.1589	0	319
"21"	0.1029	0.2231	0.4368	0.5284	0.0802	1.6627	35.3626	-4.2952	0	894
"22"	0.2535	0.2416	0.4468	0.0066	0.9891	1.4006	45.8882	-5.9875	0	439
"23"	0.1064	0.276	0.3646	0.158	1.0952	1.3388	20.193	-6.6931	0	315
"24"	0.1236	0.2262	0.4276	0.2457	0.2156	1.6947	39.1054	-11.6412	0	471
"25"	0.01	0.2205	0.4455	-0.0656	0.3297	0.9924	0.0145	-1.411	0	4165
"26"	0.0899	0.2218	0.4043	0.2082	1.083	1.2041	18.4161	-4.5208	0	533
"27"	0.1041	0.1995	0.4563	0.612	0.1009	1.7982	29.3587	-3.3425	0	720
"28"	0.2052	0.2127	0.436	0.5909	1.2749	1.5875	21.5176	-10.8788	0	319
"29"	0.088	0.174	0.4943	0.2857	0.0025	1.5075	29.2957	-2.4958	0	1444
"30"	0.223	0.223	0.4242	-0.0992	0.8006	0.8714	45.263	-8.2738	0	1645
"31"	0.1716	0.1878	0.4543	0.0433	1.3672	1.3522	26.0601	-2.2132	0	387
"32"	0.1188	0.24	0.4143	-0.0928	1.0212	1.3175	25.9697	-4.5916	0	1644
"33"	0.1072	0.1772	0.4536	0.1142	1.1723	0.9819	19.342	-3.1141	0	301
"34"	0.1141	0.2311	0.4071	0.372	1.235	0.7599	22.6748	-8.4263	0	309
"35"	0.0721	0.3028	0.3701	-0.0904	0.9505	1.1271	19.7713	-9.7998	0	778
"36"	0.0773	0.323	0.341	0.0325	1.0465	1.0519	28.4403	-7.9132	0	411
"37"	0.0786	0.1639	0.4784	0.4861	1.3354	0.5204	18.3081	-2.3939	0	359
"38"	0.1638	0.0754	0.5433	0.2006	1.1885	1.0008	21.3927	-4.3315	0	271
"39"	0.01	0.335	0.3364	0.0803	0.0304	1.0368	15.4082	-6.6742	0	2113
"40"	0.027	0.3183	0.357	0.4521	3.8758	1.1067	12.7806	-0.3418	0	1418
"41"	0.01	0.3003	0.3566	0.2151	0.1226	0.747	5.5774	-1.1974	0	2539
"42"	0.1534	0.2049	0.4745	0.2778	1.5384	1.4381	19.1772	-2.3787	0	753
"43"	0.01	0.3335	0.3374	-0.1	1.0735	1.164	12.0552	-2.4664	0	13938
"44"	0.066	0.1703	0.4598	0.1163	0.146	0.8912	19.9341	-5.7066	0	1382
"45"	0.01	0.1047	0.4707	0.8591	1.0225	0.8116	4.3257	-0.0015	0	1581
"46"	0.0932	0.1972	0.4496	0.3097	0.0485	1.3103	32.4037	-2.6801	0	1996
"47"	0.0738	0.2619	0.4062	0.1537	1.0532	1.3334	16.6758	-4.3054	0	385
"48"	0.036	0.0857	0.5176	0.2344	0.0014	2.9037	16.768	-3.0724	0	2457
